,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Omega_m,0.285,0.013,0.261,0.308,0.0,0.0,5582.0,5871.0,1.0
Delta,23.675,0.022,23.633,23.715,0.0,0.0,5582.0,5871.0,1.0
a[0],586416.603,14.096,586389.847,586442.432,0.189,0.134,5582.0,5871.0,1.0
a[1],806687.834,26.939,806636.694,806737.191,0.362,0.256,5582.0,5871.0,1.0
a[2],1059905.494,48.118,1059814.137,1059993.645,0.646,0.457,5582.0,5871.0,1.0
a[3],1024051.928,57.94,1023941.907,1024158.061,0.778,0.55,5582.0,5871.0,1.0
a[4],698779.14,47.585,698688.77,698866.295,0.639,0.452,5582.0,5871.0,1.0
a[5],506601.852,41.395,506523.226,506677.659,0.556,0.393,5582.0,5871.0,1.0
a[6],545393.909,52.6,545293.984,545490.222,0.707,0.5,5582.0,5871.0,1.0
a[7],293303.499,32.281,293242.166,293362.598,0.434,0.307,5582.0,5871.0,1.0
a[8],378276.648,46.9,378187.524,378362.5,0.63,0.446,5582.0,5871.0,1.0
a[9],319420.246,44.335,319335.981,319501.389,0.596,0.421,5582.0,5871.0,1.0
a[10],429182.391,65.459,429057.958,429302.181,0.879,0.622,5582.0,5871.0,1.0
a[11],461448.988,79.0,461298.784,461593.528,1.061,0.75,5582.0,5871.0,1.0
a[12],505498.083,92.655,505321.893,505667.587,1.245,0.88,5582.0,5871.0,1.0
a[13],837696.529,171.617,837370.108,838010.419,2.305,1.63,5582.0,5871.0,1.0
a[14],817419.107,178.804,817078.96,817746.095,2.402,1.698,5582.0,5871.0,1.0
a[15],1045735.815,249.099,1045261.836,1046191.263,3.346,2.366,5582.0,5871.0,1.0
a[16],1008748.148,262.039,1008249.428,1009227.154,3.52,2.489,5582.0,5871.0,1.0
a[17],843947.568,236.303,843497.731,844379.442,3.174,2.244,5582.0,5871.0,1.0
a[18],1469569.997,445.515,1468721.664,1470384.033,5.984,4.232,5582.0,5871.0,1.0
a[19],1166876.787,378.776,1166155.361,1167568.727,5.087,3.598,5582.0,5871.0,1.0
a[20],1237145.629,435.062,1236316.746,1237940.173,5.843,4.132,5582.0,5871.0,1.0
a[21],1044095.859,392.876,1043347.14,1044813.178,5.277,3.731,5582.0,5871.0,1.0
a[22],1149127.718,468.381,1148234.793,1149982.622,6.291,4.449,5582.0,5871.0,1.0
a[23],1381034.937,597.509,1379895.517,1382125.252,8.025,5.675,5582.0,5871.0,1.0
a[24],1156482.465,539.392,1155453.486,1157466.395,7.244,5.123,5582.0,5871.0,1.0
a[25],1213908.571,606.453,1212751.223,1215014.446,8.145,5.76,5582.0,5871.0,1.0
a[26],1240488.087,666.719,1239215.172,1241703.377,8.954,6.332,5582.0,5871.0,1.0
a[27],1035094.304,595.72,1033956.464,1036179.76,8.0,5.658,5582.0,5871.0,1.0
a[28],1231301.325,757.546,1229853.751,1232681.086,10.174,7.194,5582.0,5871.0,1.0
a[29],545221.54,363.652,544526.244,545883.528,4.884,3.453,5582.0,5871.0,1.0
a[30],878207.438,626.234,877009.479,879346.893,8.41,5.947,5582.0,5871.0,1.0
a[31],658865.548,506.362,657896.297,659786.366,6.8,4.809,5582.0,5871.0,1.0
a[32],785533.687,653.229,784282.456,786720.834,8.772,6.203,5582.0,5871.0,1.0
a[33],945456.985,859.266,943809.697,947017.341,11.538,8.159,5582.0,5871.0,1.0
a[34],588466.905,579.11,587355.817,589517.747,7.776,5.499,5582.0,5871.0,1.0
a[35],775228.798,854.263,773587.749,776777.122,11.47,8.111,5582.0,5871.0,1.0
a[36],922043.351,1117.554,919894.002,924066.665,15.004,10.611,5582.0,5871.0,1.0
a[37],744494.964,1004.071,742561.18,746310.434,13.48,9.533,5582.0,5871.0,1.0
a[38],178015.669,284.929,177465.577,178529.665,3.825,2.705,5582.0,5871.0,1.0
a[39],103756.711,193.193,103382.869,104104.455,2.593,1.834,5582.0,5871.0,1.0
b[0],24623.101,0.296,24622.539,24623.643,0.004,0.003,5582.0,5871.0,1.0
b[1],33956.825,0.567,33955.749,33957.864,0.008,0.005,5582.0,5871.0,1.0
b[2],44567.841,1.012,44565.92,44569.694,0.014,0.01,5582.0,5871.0,1.0
b[3],43061.894,1.218,43059.581,43064.125,0.016,0.012,5582.0,5871.0,1.0
b[4],29382.429,1.0,29380.529,29384.261,0.013,0.01,5582.0,5871.0,1.0
b[5],21310.17,0.871,21308.517,21311.765,0.012,0.008,5582.0,5871.0,1.0
b[6],22970.697,1.108,22968.592,22972.725,0.015,0.011,5582.0,5871.0,1.0
b[7],12336.561,0.679,12335.271,12337.804,0.009,0.006,5582.0,5871.0,1.0
b[8],15913.117,0.986,15911.243,15914.923,0.013,0.009,5582.0,5871.0,1.0
b[9],13376.87,0.928,13375.105,13378.569,0.012,0.009,5582.0,5871.0,1.0
b[10],18022.562,1.374,18019.949,18025.077,0.018,0.013,5582.0,5871.0,1.0
