,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.704,0.007,0.691,0.716,0.0,0.0,2774.0,3406.0,1.0
Omega_m,0.273,0.018,0.239,0.307,0.0,0.0,2558.0,2992.0,1.0
dL[0],0.599,0.005,0.59,0.608,0.0,0.0,2927.0,3441.0,1.0
dL[1],1.084,0.008,1.07,1.098,0.0,0.0,3123.0,3775.0,1.0
dL[2],1.176,0.009,1.161,1.191,0.0,0.0,3167.0,3816.0,1.0
dL[3],1.183,0.009,1.168,1.198,0.0,0.0,3171.0,3827.0,1.0
dL[4],1.25,0.009,1.234,1.265,0.0,0.0,3207.0,3870.0,1.0
dL[5],1.275,0.009,1.258,1.29,0.0,0.0,3221.0,3955.0,1.0
dL[6],1.315,0.009,1.299,1.331,0.0,0.0,3244.0,3959.0,1.0
dL[7],1.359,0.01,1.342,1.374,0.0,0.0,3269.0,4028.0,1.0
dL[8],1.408,0.01,1.391,1.424,0.0,0.0,3298.0,4068.0,1.0
dL[9],1.478,0.01,1.461,1.495,0.0,0.0,3342.0,4120.0,1.0
dL[10],1.527,0.01,1.509,1.545,0.0,0.0,3374.0,4146.0,1.0
dL[11],1.531,0.01,1.513,1.548,0.0,0.0,3377.0,4146.0,1.0
dL[12],1.576,0.011,1.558,1.594,0.0,0.0,3408.0,4175.0,1.0
dL[13],1.601,0.011,1.583,1.619,0.0,0.0,3426.0,4185.0,1.0
dL[14],1.612,0.011,1.594,1.631,0.0,0.0,3435.0,4204.0,1.0
dL[15],1.652,0.011,1.634,1.671,0.0,0.0,3465.0,4310.0,1.0
dL[16],1.682,0.011,1.663,1.7,0.0,0.0,3489.0,4338.0,1.0
dL[17],1.717,0.011,1.698,1.736,0.0,0.0,3518.0,4379.0,1.0
dL[18],1.753,0.011,1.733,1.771,0.0,0.0,3548.0,4407.0,1.0
dL[19],1.765,0.011,1.746,1.784,0.0,0.0,3559.0,4449.0,1.0
dL[20],1.813,0.012,1.793,1.832,0.0,0.0,3601.0,4614.0,1.0
dL[21],1.823,0.012,1.803,1.842,0.0,0.0,3610.0,4642.0,1.0
dL[22],1.847,0.012,1.827,1.866,0.0,0.0,3632.0,4669.0,1.0
dL[23],1.904,0.012,1.884,1.924,0.0,0.0,3688.0,4731.0,1.0
dL[24],1.918,0.012,1.898,1.938,0.0,0.0,3702.0,4736.0,1.0
dL[25],2.028,0.013,2.007,2.048,0.0,0.0,3818.0,4947.0,1.0
dL[26],2.065,0.013,2.043,2.085,0.0,0.0,3859.0,4936.0,1.0
dL[27],2.065,0.013,2.044,2.085,0.0,0.0,3860.0,4915.0,1.0
dL[28],2.104,0.013,2.082,2.124,0.0,0.0,3907.0,4956.0,1.0
dL[29],2.144,0.013,2.123,2.165,0.0,0.0,3958.0,5037.0,1.0
dL[30],2.154,0.013,2.132,2.174,0.0,0.0,3971.0,5017.0,1.0
dL[31],2.174,0.013,2.152,2.194,0.0,0.0,3997.0,4990.0,1.0
dL[32],2.213,0.013,2.191,2.233,0.0,0.0,4050.0,5100.0,1.0
dL[33],2.217,0.013,2.195,2.238,0.0,0.0,4057.0,5200.0,1.0
dL[34],2.218,0.013,2.196,2.239,0.0,0.0,4057.0,5200.0,1.0
dL[35],2.243,0.013,2.22,2.264,0.0,0.0,4092.0,5211.0,1.0
dL[36],2.345,0.014,2.322,2.366,0.0,0.0,4247.0,5497.0,1.0
dL[37],2.437,0.014,2.414,2.459,0.0,0.0,4403.0,5794.0,1.0
dL[38],2.446,0.014,2.423,2.469,0.0,0.0,4418.0,5866.0,1.0
dL[39],2.447,0.014,2.425,2.47,0.0,0.0,4420.0,5866.0,1.0
dL[40],2.455,0.014,2.432,2.477,0.0,0.0,4433.0,5836.0,1.0
dL[41],2.473,0.014,2.45,2.495,0.0,0.0,4466.0,5863.0,1.0
dL[42],2.475,0.014,2.452,2.497,0.0,0.0,4471.0,5863.0,1.0
dL[43],2.48,0.014,2.457,2.502,0.0,0.0,4479.0,5811.0,1.0
dL[44],2.498,0.014,2.475,2.52,0.0,0.0,4513.0,5816.0,1.0
dL[45],2.534,0.014,2.511,2.557,0.0,0.0,4581.0,5931.0,1.0
dL[46],2.569,0.015,2.546,2.592,0.0,0.0,4650.0,5958.0,1.0
dL[47],2.594,0.015,2.57,2.616,0.0,0.0,4701.0,5983.0,1.0
dL[48],2.613,0.015,2.589,2.636,0.0,0.0,4741.0,6053.0,1.0
dL[49],2.622,0.015,2.598,2.645,0.0,0.0,4760.0,6069.0,1.0
dL[50],2.623,0.015,2.6,2.647,0.0,0.0,4763.0,6069.0,1.0
dL[51],2.671,0.015,2.648,2.695,0.0,0.0,4867.0,6068.0,1.0
dL[52],2.674,0.015,2.65,2.697,0.0,0.0,4872.0,6100.0,1.0
dL[53],2.762,0.015,2.738,2.785,0.0,0.0,5079.0,6474.0,1.0
dL[54],2.819,0.015,2.795,2.842,0.0,0.0,5223.0,6836.0,1.0
dL[55],2.857,0.016,2.832,2.88,0.0,0.0,5323.0,7085.0,1.0
dL[56],2.892,0.016,2.868,2.917,0.0,0.0,5422.0,7173.0,1.0
dL[57],2.893,0.016,2.869,2.917,0.0,0.0,5423.0,7173.0,1.0
dL[58],2.914,0.016,2.89,2.938,0.0,0.0,5486.0,7384.0,1.0
dL[59],2.954,0.016,2.93,2.979,0.0,0.0,5602.0,7310.0,1.0
dL[60],3.035,0.016,3.01,3.06,0.0,0.0,5855.0,7516.0,1.0
dL[61],3.043,0.016,3.018,3.068,0.0,0.0,5881.0,7516.0,1.0
dL[62],3.063,0.016,3.038,3.088,0.0,0.0,5946.0,7521.0,1.0
dL[63],3.119,0.017,3.094,3.144,0.0,0.0,6138.0,7588.0,1.0
dL[64],3.129,0.017,3.104,3.155,0.0,0.0,6175.0,7631.0,1.0
dL[65],3.251,0.017,3.225,3.276,0.0,0.0,6636.0,8055.0,1.0
dL[66],3.324,0.017,3.298,3.35,0.0,0.0,6925.0,8227.0,1.0
dL[67],3.368,0.018,3.341,3.394,0.0,0.0,7098.0,8404.0,1.0
dL[68],3.373,0.018,3.346,3.399,0.0,0.0,7118.0,8389.0,1.0
dL[69],3.381,0.018,3.355,3.408,0.0,0.0,7153.0,8434.0,1.0
dL[70],3.386,0.018,3.359,3.412,0.0,0.0,7170.0,8434.0,1.0
dL[71],3.392,0.018,3.365,3.418,0.0,0.0,7196.0,8464.0,1.0
dL[72],3.414,0.018,3.387,3.44,0.0,0.0,7288.0,8479.0,1.0
dL[73],3.432,0.018,3.405,3.459,0.0,0.0,7364.0,8464.0,1.0
dL[74],3.493,0.018,3.466,3.52,0.0,0.0,7625.0,8622.0,1.0
dL[75],3.537,0.018,3.51,3.564,0.0,0.0,7823.0,8800.0,1.0
dL[76],3.542,0.018,3.515,3.569,0.0,0.0,7846.0,8817.0,1.0
dL[77],3.55,0.018,3.522,3.577,0.0,0.0,7881.0,8817.0,1.0
dL[78],3.563,0.018,3.536,3.59,0.0,0.0,7943.0,8884.0,1.0
dL[79],3.568,0.018,3.54,3.594,0.0,0.0,7961.0,8884.0,1.0
dL[80],3.585,0.018,3.557,3.612,0.0,0.0,8040.0,8867.0,1.0
dL[81],3.604,0.018,3.576,3.631,0.0,0.0,8128.0,8936.0,1.0
dL[82],3.608,0.019,3.58,3.635,0.0,0.0,8146.0,8936.0,1.0
dL[83],3.61,0.019,3.582,3.637,0.0,0.0,8155.0,8929.0,1.0
dL[84],3.611,0.019,3.583,3.638,0.0,0.0,8159.0,8929.0,1.0
dL[85],3.614,0.019,3.586,3.641,0.0,0.0,8173.0,8894.0,1.0
dL[86],3.624,0.019,3.596,3.651,0.0,0.0,8224.0,8970.0,1.0
dL[87],3.63,0.019,3.602,3.658,0.0,0.0,8253.0,8952.0,1.0
dL[88],3.647,0.019,3.618,3.674,0.0,0.0,8329.0,8952.0,1.0
dL[89],3.656,0.019,3.628,3.684,0.0,0.0,8373.0,8952.0,1.0
dL[90],3.694,0.019,3.666,3.722,0.0,0.0,8557.0,8953.0,1.0
dL[91],3.739,0.019,3.71,3.767,0.0,0.0,8773.0,8935.0,1.0
dL[92],3.75,0.019,3.721,3.778,0.0,0.0,8826.0,8952.0,1.0
dL[93],3.782,0.019,3.753,3.811,0.0,0.0,8987.0,8952.0,1.0
dL[94],3.783,0.019,3.755,3.812,0.0,0.0,8993.0,8952.0,1.0
dL[95],3.789,0.019,3.76,3.818,0.0,0.0,9020.0,8970.0,1.0
dL[96],3.802,0.019,3.773,3.831,0.0,0.0,9086.0,9038.0,1.0
