,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.67,0.006,0.66,0.68,0.0,0.0,2927.0,2677.0,1.0
Omega_m,0.207,0.014,0.181,0.232,0.0,0.0,2801.0,2294.0,1.0
dL[0],0.653,0.005,0.644,0.661,0.0,0.0,3085.0,2941.0,1.0
dL[1],0.715,0.006,0.705,0.724,0.0,0.0,3104.0,2987.0,1.0
dL[2],0.784,0.006,0.774,0.794,0.0,0.0,3127.0,3089.0,1.0
dL[3],0.901,0.007,0.89,0.912,0.0,0.0,3167.0,3350.0,1.0
dL[4],0.912,0.007,0.9,0.923,0.0,0.0,3171.0,3357.0,1.0
dL[5],1.162,0.008,1.148,1.176,0.0,0.0,3274.0,3339.0,1.0
dL[6],1.253,0.009,1.238,1.267,0.0,0.0,3316.0,3662.0,1.0
dL[7],1.344,0.009,1.329,1.359,0.0,0.0,3362.0,3871.0,1.0
dL[8],1.386,0.01,1.37,1.401,0.0,0.0,3385.0,3868.0,1.0
dL[9],1.539,0.01,1.522,1.555,0.0,0.0,3475.0,3866.0,1.0
dL[10],1.59,0.011,1.572,1.606,0.0,0.0,3506.0,3837.0,1.0
dL[11],1.636,0.011,1.617,1.652,0.0,0.0,3537.0,3854.0,1.0
dL[12],1.718,0.011,1.7,1.736,0.0,0.0,3594.0,3950.0,1.0
dL[13],1.78,0.012,1.76,1.797,0.0,0.0,3639.0,4010.0,1.0
dL[14],1.832,0.012,1.812,1.85,0.0,0.0,3679.0,4016.0,1.0
dL[15],1.934,0.012,1.913,1.952,0.0,0.0,3762.0,4120.0,1.0
dL[16],2.098,0.013,2.077,2.118,0.0,0.0,3916.0,4270.0,1.0
dL[17],2.134,0.013,2.113,2.154,0.0,0.0,3951.0,4290.0,1.0
dL[18],2.194,0.013,2.172,2.214,0.0,0.0,4013.0,4255.0,1.0
dL[19],2.205,0.013,2.184,2.226,0.0,0.0,4026.0,4255.0,1.0
dL[20],2.243,0.013,2.22,2.263,0.0,0.0,4067.0,4317.0,1.0
dL[21],2.257,0.014,2.234,2.277,0.0,0.0,4082.0,4332.0,1.0
dL[22],2.297,0.014,2.275,2.318,0.0,0.0,4129.0,4490.0,1.0
dL[23],2.318,0.014,2.296,2.34,0.0,0.0,4154.0,4503.0,1.0
dL[24],2.356,0.014,2.333,2.377,0.0,0.0,4201.0,4697.0,1.0
dL[25],2.373,0.014,2.351,2.396,0.0,0.0,4223.0,4735.0,1.0
dL[26],2.416,0.014,2.393,2.438,0.0,0.0,4278.0,4725.0,1.0
