,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.69,0.01,0.672,0.708,0.0,0.0,6742.0,9308.0,1.0
Omega_m,0.3,0.036,0.236,0.369,0.0,0.0,6543.0,8838.0,1.0
dL[0],1.457,0.015,1.431,1.484,0.0,0.0,11243.0,14189.0,1.0
dL[1],18.474,0.44,17.667,19.305,0.005,0.003,9411.0,11738.0,1.0
dL[2],20.84,0.517,19.897,21.825,0.005,0.004,9205.0,11550.0,1.0
dL[3],22.27,0.564,21.237,23.344,0.006,0.004,9111.0,11463.0,1.0
dL[4],23.378,0.602,22.274,24.519,0.006,0.004,9052.0,11415.0,1.0
dL[5],25.189,0.663,23.966,26.437,0.007,0.005,8967.0,11386.0,1.0
dL[6],38.96,1.141,36.874,41.133,0.012,0.009,8608.0,10841.0,1.0
dL[7],39.641,1.165,37.511,41.86,0.013,0.009,8599.0,10833.0,1.0
dL[8],39.958,1.176,37.809,42.199,0.013,0.009,8594.0,10781.0,1.0
dL[9],47.765,1.453,45.11,50.543,0.016,0.011,8496.0,10774.0,1.0
dL[10],48.567,1.482,45.867,51.407,0.016,0.011,8488.0,10756.0,1.0
dL[11],55.677,1.737,52.552,59.052,0.019,0.013,8427.0,10791.0,1.0
dL[12],65.692,2.1,61.9,69.752,0.023,0.016,8361.0,10714.0,1.0
dL[13],70.121,2.261,65.862,74.315,0.025,0.018,8339.0,10731.0,1.0
dL[14],75.125,2.443,70.531,79.669,0.027,0.019,8317.0,10722.0,1.0
