,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.621,0.046,0.536,0.708,0.001,0.001,1948.0,2160.0,1.0
Omega_m,0.307,0.104,0.147,0.504,0.002,0.002,1928.0,1977.0,1.0
dL[0],7.964,0.168,7.65,8.258,0.003,0.002,3187.0,3954.0,1.0
dL[1],10.211,0.173,9.893,10.507,0.002,0.002,5947.0,7038.0,1.0
dL[2],15.103,0.25,14.657,15.547,0.003,0.002,9220.0,8946.0,1.0
dL[3],18.001,0.336,17.386,18.611,0.005,0.003,5507.0,7310.0,1.0
dL[4],20.993,0.443,20.156,21.784,0.007,0.005,4067.0,5769.0,1.0
dL[5],25.315,0.619,24.201,26.498,0.011,0.008,3296.0,4899.0,1.0
dL[6],25.784,0.639,24.615,26.987,0.011,0.008,3240.0,4961.0,1.0
dL[7],25.877,0.643,24.7,27.087,0.011,0.008,3229.0,4954.0,1.0
dL[8],27.464,0.711,26.141,28.786,0.013,0.009,3072.0,4782.0,1.0
dL[9],34.749,1.044,32.812,36.725,0.02,0.014,2697.0,4029.0,1.0
dL[10],40.666,1.327,38.252,43.237,0.026,0.018,2562.0,3708.0,1.0
dL[11],46.028,1.591,43.19,49.164,0.032,0.022,2486.0,3594.0,1.0
dL[12],48.285,1.704,45.243,51.639,0.034,0.024,2461.0,3491.0,1.0
dL[13],48.825,1.731,45.729,52.229,0.035,0.025,2456.0,3482.0,1.0
dL[14],51.553,1.868,48.22,55.236,0.038,0.027,2430.0,3401.0,1.0
