,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.704,0.007,0.691,0.716,0.0,0.0,10934.0,11634.0,1.0
Omega_m,0.253,0.025,0.205,0.297,0.0,0.0,10709.0,11883.0,1.0
dL[0],1.159,0.008,1.146,1.173,0.0,0.0,14496.0,18842.0,1.0
dL[1],1.429,0.009,1.413,1.444,0.0,0.0,16589.0,21225.0,1.0
dL[2],2.154,0.012,2.133,2.175,0.0,0.0,27194.0,26856.0,1.0
dL[3],4.295,0.03,4.24,4.346,0.0,0.0,27138.0,25723.0,1.0
dL[4],6.215,0.057,6.112,6.32,0.0,0.0,18390.0,20761.0,1.0
dL[5],10.045,0.13,9.809,10.292,0.001,0.001,14555.0,17580.0,1.0
dL[6],16.498,0.281,15.987,17.04,0.002,0.002,13174.0,15696.0,1.0
dL[7],21.422,0.409,20.665,22.195,0.004,0.003,12798.0,15178.0,1.0
dL[8],21.559,0.412,20.794,22.338,0.004,0.003,12790.0,15166.0,1.0
dL[9],26.701,0.551,25.689,27.751,0.005,0.003,12572.0,15105.0,1.0
dL[10],29.016,0.614,27.887,30.187,0.006,0.004,12503.0,15010.0,1.0
dL[11],29.811,0.636,28.644,31.026,0.006,0.004,12482.0,14963.0,1.0
dL[12],32.235,0.704,30.95,33.584,0.006,0.004,12426.0,14823.0,1.0
dL[13],41.923,0.978,40.128,43.79,0.009,0.006,12273.0,14810.0,1.0
dL[14],52.307,1.278,49.949,54.733,0.012,0.008,12177.0,14741.0,1.0
