,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.696,0.007,0.683,0.709,0.0,0.0,3456.0,4219.0,1.0
Omega_m,0.268,0.022,0.228,0.309,0.0,0.0,3347.0,4214.0,1.0
dGW[0],0.411,0.004,0.404,0.417,0.0,0.0,3614.0,4358.0,1.0
dGW[1],0.811,0.007,0.799,0.823,0.0,0.0,3850.0,4971.0,1.0
dGW[2],0.941,0.007,0.927,0.953,0.0,0.0,3948.0,4998.0,1.0
dGW[3],0.949,0.007,0.935,0.962,0.0,0.0,3955.0,5030.0,1.0
dGW[4],1.042,0.008,1.028,1.056,0.0,0.0,4037.0,5154.0,1.0
dGW[5],1.258,0.009,1.242,1.274,0.0,0.0,4254.0,5387.0,1.0
dGW[6],1.356,0.01,1.339,1.373,0.0,0.0,4369.0,5421.0,1.0
dGW[7],1.439,0.01,1.421,1.457,0.0,0.0,4476.0,5613.0,1.0
dGW[8],1.501,0.01,1.483,1.519,0.0,0.0,4563.0,5781.0,1.0
dGW[9],1.661,0.011,1.641,1.68,0.0,0.0,4807.0,5876.0,1.0
dGW[10],1.86,0.012,1.838,1.88,0.0,0.0,5171.0,6333.0,1.0
dGW[11],1.866,0.012,1.845,1.887,0.0,0.0,5184.0,6341.0,1.0
dGW[12],1.88,0.012,1.858,1.901,0.0,0.0,5211.0,6384.0,1.0
dGW[13],2.104,0.013,2.081,2.126,0.0,0.0,5717.0,6840.0,1.0
dGW[14],2.157,0.013,2.133,2.18,0.0,0.0,5853.0,6865.0,1.0
dGW[15],2.162,0.013,2.139,2.185,0.0,0.0,5867.0,6877.0,1.0
dGW[16],2.265,0.014,2.242,2.29,0.0,0.0,6151.0,7115.0,1.0
dGW[17],2.373,0.014,2.348,2.397,0.0,0.0,6480.0,7526.0,1.0
dGW[18],2.656,0.016,2.628,2.682,0.0,0.0,7480.0,8134.0,1.0
dGW[19],2.828,0.016,2.799,2.855,0.0,0.0,8166.0,8625.0,1.0
dGW[20],2.87,0.017,2.84,2.897,0.0,0.0,8342.0,8942.0,1.0
dGW[21],2.892,0.017,2.862,2.919,0.0,0.0,8435.0,8914.0,1.0
dGW[22],3.009,0.017,2.979,3.038,0.0,0.0,8945.0,9091.0,1.0
dGW[23],3.071,0.018,3.041,3.101,0.0,0.0,9214.0,9224.0,1.0
dGW[24],3.136,0.018,3.106,3.167,0.0,0.0,9502.0,9227.0,1.0
dGW[25],3.146,0.018,3.115,3.176,0.0,0.0,9542.0,9270.0,1.0
dGW[26],3.152,0.018,3.121,3.183,0.0,0.0,9571.0,9251.0,1.0
dGW[27],3.206,0.018,3.174,3.237,0.0,0.0,9811.0,9108.0,1.0
dGW[28],3.303,0.019,3.271,3.335,0.0,0.0,10234.0,9287.0,1.0
dGW[29],3.343,0.019,3.31,3.375,0.0,0.0,10406.0,9306.0,1.0
dGW[30],3.513,0.02,3.479,3.547,0.0,0.0,11099.0,8858.0,1.0
dGW[31],3.515,0.02,3.481,3.55,0.0,0.0,11107.0,8858.0,1.0
dGW[32],3.517,0.02,3.483,3.551,0.0,0.0,11113.0,8858.0,1.0
dGW[33],3.633,0.021,3.599,3.67,0.0,0.0,11570.0,8653.0,1.0
dGW[34],3.689,0.021,3.654,3.727,0.0,0.0,11817.0,8587.0,1.0
dGW[35],3.728,0.022,3.693,3.766,0.0,0.0,11974.0,8616.0,1.0
dGW[36],3.752,0.022,3.717,3.791,0.0,0.0,12073.0,8537.0,1.0
dGW[37],3.866,0.022,3.829,3.905,0.0,0.0,12495.0,8415.0,1.0
dGW[38],3.871,0.022,3.834,3.91,0.0,0.0,12511.0,8416.0,1.0
dGW[39],3.892,0.023,3.854,3.931,0.0,0.0,12574.0,8415.0,1.0
dGW[40],3.904,0.023,3.865,3.943,0.0,0.0,12611.0,8386.0,1.0
dGW[41],3.92,0.023,3.882,3.96,0.0,0.0,12657.0,8353.0,1.0
dGW[42],3.922,0.023,3.884,3.962,0.0,0.0,12663.0,8294.0,1.0
dGW[43],3.995,0.023,3.956,4.035,0.0,0.0,12860.0,8345.0,1.0
dGW[44],3.998,0.023,3.959,4.038,0.0,0.0,12865.0,8359.0,1.0
