,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.709,0.007,0.695,0.723,0.0,0.0,10149.0,12114.0,1.0
Omega_m,0.228,0.023,0.187,0.271,0.0,0.0,9823.0,11335.0,1.0
dGW[0],1.213,0.009,1.197,1.229,0.0,0.0,13126.0,17334.0,1.0
dGW[1],1.84,0.012,1.819,1.861,0.0,0.0,17197.0,21009.0,1.0
dGW[2],3.772,0.023,3.731,3.813,0.0,0.0,36718.0,26889.0,1.0
dGW[3],7.495,0.068,7.372,7.619,0.001,0.0,18456.0,18598.0,1.0
dGW[4],8.625,0.087,8.468,8.784,0.001,0.001,16593.0,17632.0,1.0
dGW[5],8.653,0.087,8.494,8.813,0.001,0.001,16558.0,17632.0,1.0
dGW[6],17.682,0.279,17.158,18.185,0.003,0.002,12662.0,14850.0,1.0
dGW[7],18.762,0.304,18.193,19.315,0.003,0.002,12528.0,14825.0,1.0
dGW[8],23.238,0.414,22.469,23.994,0.004,0.003,12143.0,14512.0,1.0
dGW[9],23.802,0.428,23.012,24.589,0.004,0.003,12108.0,14413.0,1.0
dGW[10],24.674,0.45,23.843,25.5,0.004,0.003,12057.0,14370.0,1.0
dGW[11],25.648,0.474,24.775,26.524,0.005,0.003,12005.0,14380.0,1.0
dGW[12],27.411,0.519,26.466,28.38,0.005,0.004,11925.0,14389.0,1.0
dGW[13],34.608,0.705,33.329,35.927,0.007,0.005,11701.0,13916.0,1.0
dGW[14],34.734,0.708,33.448,36.06,0.007,0.005,11698.0,13916.0,1.0
dGW[15],36.417,0.752,35.048,37.822,0.007,0.005,11661.0,13835.0,1.0
dGW[16],44.595,0.969,42.806,46.38,0.009,0.007,11528.0,13651.0,1.0
dGW[17],48.675,1.078,46.717,50.694,0.01,0.007,11480.0,13679.0,1.0
dGW[18],49.277,1.094,47.289,51.325,0.011,0.007,11473.0,13685.0,1.0
dGW[19],59.705,1.375,57.202,62.275,0.013,0.009,11386.0,13607.0,1.0
correction,0.938,0.003,0.933,0.943,0.0,0.0,9823.0,11335.0,1.0
E,8.788,0.439,7.985,9.599,0.005,0.003,9823.0,11335.0,1.0
k,2.998,0.0,2.998,2.998,0.0,0.0,40000.0,40000.0,
lambda,0.425,0.008,0.41,0.44,0.0,0.0,9823.0,11335.0,1.0
deriv_0,0.319,0.037,0.254,0.388,0.0,0.0,9823.0,11335.0,1.0
"S[0, 0]",1.074,0.009,1.059,1.09,0.0,0.0,9823.0,11335.0,1.0
"S[0, 1]",0.235,0.001,0.233,0.237,0.0,0.0,9823.0,11335.0,1.0
"S[1, 0]",1.117,0.013,1.094,1.142,0.0,0.0,9823.0,11335.0,1.0
"S[1, 1]",0.331,0.002,0.328,0.334,0.0,0.0,9823.0,11335.0,1.0
"S[2, 0]",1.27,0.029,1.219,1.324,0.0,0.0,9823.0,11335.0,1.0
"S[2, 1]",0.57,0.006,0.559,0.581,0.0,0.0,9823.0,11335.0,1.0
"S[3, 0]",1.623,0.058,1.518,1.732,0.001,0.0,9823.0,11335.0,1.0
"S[3, 1]",0.895,0.015,0.866,0.923,0.0,0.0,9823.0,11335.0,1.0
"S[4, 0]",1.741,0.067,1.62,1.865,0.001,0.001,9823.0,11335.0,1.0
"S[4, 1]",0.972,0.018,0.938,1.006,0.0,0.0,9823.0,11335.0,1.0
"S[5, 0]",1.743,0.067,1.623,1.868,0.001,0.001,9823.0,11335.0,1.0
"S[5, 1]",0.974,0.018,0.94,1.008,0.0,0.0,9823.0,11335.0,1.0
"S[6, 0]",2.779,0.129,2.544,3.018,0.001,0.001,9823.0,11335.0,1.0
"S[6, 1]",1.404,0.037,1.338,1.474,0.0,0.0,9823.0,11335.0,1.0
