,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.698,0.006,0.688,0.708,0.0,0.0,4929.0,4117.0,1.0
Omega_m,0.284,0.013,0.267,0.302,0.001,0.0,4568.0,2590.0,1.0
alpha,-0.11,0.276,-0.548,0.351,0.009,0.012,3514.0,2501.0,1.0
dL[0],0.061,0.001,0.06,0.062,0.0,0.0,4943.0,4141.0,1.0
dL[1],0.114,0.001,0.112,0.116,0.0,0.0,4955.0,4189.0,1.0
dL[2],0.127,0.001,0.126,0.129,0.0,0.0,4958.0,4169.0,1.0
dL[3],0.132,0.001,0.13,0.134,0.0,0.0,4958.0,4176.0,1.0
dL[4],0.191,0.002,0.188,0.194,0.0,0.0,4974.0,4199.0,1.0
dL[5],0.205,0.002,0.202,0.207,0.0,0.0,4985.0,4199.0,1.0
dL[6],0.218,0.002,0.215,0.221,0.0,0.0,4987.0,4207.0,1.0
dL[7],0.223,0.002,0.22,0.226,0.0,0.0,4988.0,4207.0,1.0
dL[8],0.232,0.002,0.229,0.236,0.0,0.0,4990.0,4211.0,1.0
dL[9],0.26,0.002,0.257,0.264,0.0,0.0,5002.0,4252.0,1.0
dL[10],0.27,0.002,0.266,0.273,0.0,0.0,5006.0,4251.0,1.0
dL[11],0.274,0.002,0.27,0.278,0.0,0.0,5007.0,4251.0,1.0
dL[12],0.279,0.002,0.275,0.283,0.0,0.0,5008.0,4251.0,1.0
dL[13],0.284,0.002,0.28,0.288,0.0,0.0,5009.0,4239.0,1.0
dL[14],0.288,0.002,0.284,0.292,0.0,0.0,5011.0,4239.0,1.0
dL[15],0.288,0.002,0.284,0.292,0.0,0.0,5011.0,4239.0,1.0
dL[16],0.298,0.002,0.294,0.302,0.0,0.0,5013.0,4271.0,1.0
dL[17],0.303,0.002,0.298,0.307,0.0,0.0,5014.0,4275.0,1.0
dL[18],0.303,0.002,0.298,0.307,0.0,0.0,5014.0,4275.0,1.0
dL[19],0.303,0.002,0.298,0.307,0.0,0.0,5014.0,4275.0,1.0
dL[20],0.312,0.003,0.308,0.316,0.0,0.0,5017.0,4263.0,1.0
dL[21],0.312,0.003,0.308,0.316,0.0,0.0,5017.0,4263.0,1.0
dL[22],0.321,0.003,0.317,0.326,0.0,0.0,5020.0,4212.0,1.0
dL[23],0.331,0.003,0.327,0.335,0.0,0.0,5025.0,4200.0,1.0
dL[24],0.336,0.003,0.331,0.34,0.0,0.0,5026.0,4200.0,1.0
dL[25],0.384,0.003,0.379,0.389,0.0,0.0,5046.0,4158.0,1.0
dL[26],0.384,0.003,0.379,0.389,0.0,0.0,5046.0,4158.0,1.0
dL[27],0.393,0.003,0.388,0.399,0.0,0.0,5051.0,4119.0,1.0
dL[28],0.408,0.003,0.403,0.414,0.0,0.0,5059.0,4135.0,1.0
dL[29],0.423,0.003,0.417,0.428,0.0,0.0,5064.0,4157.0,1.0
dL[30],0.423,0.003,0.417,0.428,0.0,0.0,5064.0,4157.0,1.0
dL[31],0.437,0.003,0.432,0.443,0.0,0.0,5068.0,4183.0,1.0
dL[32],0.442,0.003,0.436,0.448,0.0,0.0,5069.0,4183.0,1.0
dL[33],0.457,0.004,0.451,0.463,0.0,0.0,5077.0,4152.0,1.0
dL[34],0.462,0.004,0.456,0.468,0.0,0.0,5078.0,4153.0,1.0
dL[35],0.487,0.004,0.48,0.493,0.0,0.0,5084.0,4167.0,1.0
dL[36],0.507,0.004,0.5,0.513,0.0,0.0,5092.0,4220.0,1.0
dL[37],0.522,0.004,0.515,0.528,0.0,0.0,5096.0,4220.0,1.0
dL[38],0.522,0.004,0.515,0.528,0.0,0.0,5096.0,4220.0,1.0
dL[39],0.527,0.004,0.52,0.533,0.0,0.0,5097.0,4220.0,1.0
dL[40],0.532,0.004,0.525,0.538,0.0,0.0,5099.0,4220.0,1.0
dL[41],0.582,0.004,0.575,0.59,0.0,0.0,5115.0,4228.0,1.0
dL[42],0.597,0.005,0.59,0.605,0.0,0.0,5119.0,4228.0,1.0
dL[43],0.597,0.005,0.59,0.605,0.0,0.0,5119.0,4228.0,1.0
dL[44],0.633,0.005,0.625,0.641,0.0,0.0,5129.0,4272.0,1.0
dL[45],0.659,0.005,0.651,0.667,0.0,0.0,5137.0,4272.0,1.0
