,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.7,0.006,0.69,0.71,0.0,0.0,5950.0,5887.0,1.0
Omega_m,0.284,0.01,0.267,0.301,0.0,0.0,5678.0,5701.0,1.0
alpha,-0.095,0.232,-0.518,0.321,0.004,0.004,5142.0,5638.0,1.0
dL[0],9.406,0.055,9.307,9.503,0.001,0.0,11818.0,10362.0,1.0
dL[1],11.511,0.077,11.373,11.649,0.001,0.001,10374.0,10250.0,1.0
dL[2],15.027,0.118,14.809,15.234,0.001,0.001,8957.0,9703.0,1.0
dL[3],15.377,0.122,15.156,15.597,0.001,0.001,8867.0,9682.0,1.0
dL[4],18.171,0.158,17.884,18.454,0.002,0.001,8348.0,9562.0,1.0
dL[5],20.352,0.187,20.0,20.676,0.002,0.002,8084.0,9096.0,1.0
dL[6],22.183,0.212,21.8,22.565,0.003,0.002,7918.0,8991.0,1.0
dL[7],25.768,0.262,25.306,26.25,0.003,0.002,7686.0,8923.0,1.0
dL[8],29.932,0.32,29.345,30.5,0.004,0.003,7508.0,8805.0,1.0
dL[9],34.798,0.39,34.076,35.476,0.005,0.004,7368.0,8609.0,1.0
dL[10],42.309,0.499,41.398,43.192,0.006,0.005,7232.0,8471.0,1.0
dL[11],48.212,0.585,47.149,49.253,0.008,0.005,7163.0,8381.0,1.0
dL[12],48.476,0.589,47.406,49.524,0.008,0.005,7161.0,8381.0,1.0
dL[13],55.987,0.699,54.733,57.248,0.009,0.007,7101.0,8314.0,1.0
dL[14],72.336,0.94,70.57,73.947,0.012,0.009,7021.0,8378.0,1.0
dL[15],0.384,0.003,0.378,0.389,0.0,0.0,6083.0,6032.0,1.0
dL[16],0.719,0.005,0.71,0.727,0.0,0.0,6240.0,6053.0,1.0
dL[17],0.849,0.006,0.838,0.858,0.0,0.0,6313.0,6029.0,1.0
dL[18],1.061,0.007,1.049,1.073,0.0,0.0,6449.0,6265.0,1.0
dL[19],1.124,0.007,1.112,1.137,0.0,0.0,6494.0,6308.0,1.0
dL[20],1.175,0.007,1.162,1.188,0.0,0.0,6532.0,6350.0,1.0
dL[21],1.194,0.007,1.181,1.207,0.0,0.0,6548.0,6438.0,1.0
dL[22],1.251,0.008,1.238,1.265,0.0,0.0,6595.0,6493.0,1.0
dL[23],1.463,0.009,1.447,1.478,0.0,0.0,6779.0,6828.0,1.0
dL[24],1.465,0.009,1.449,1.48,0.0,0.0,6781.0,6828.0,1.0
dL[25],1.475,0.009,1.46,1.49,0.0,0.0,6791.0,6900.0,1.0
dL[26],1.487,0.009,1.472,1.503,0.0,0.0,6802.0,6910.0,1.0
dL[27],1.526,0.009,1.511,1.542,0.0,0.0,6840.0,6919.0,1.0
dL[28],1.537,0.009,1.521,1.552,0.0,0.0,6850.0,6982.0,1.0
dL[29],1.54,0.009,1.524,1.555,0.0,0.0,6854.0,6982.0,1.0
dL[30],1.639,0.009,1.623,1.656,0.0,0.0,6960.0,7055.0,1.0
dL[31],1.662,0.009,1.646,1.679,0.0,0.0,6986.0,7088.0,1.0
dL[32],1.671,0.009,1.655,1.688,0.0,0.0,6994.0,7121.0,1.0
dL[33],1.781,0.01,1.764,1.798,0.0,0.0,7128.0,7392.0,1.0
dL[34],1.846,0.01,1.828,1.864,0.0,0.0,7207.0,7601.0,1.0
dL[35],1.859,0.01,1.841,1.877,0.0,0.0,7223.0,7601.0,1.0
dL[36],1.936,0.01,1.918,1.954,0.0,0.0,7323.0,7630.0,1.0
dL[37],1.936,0.01,1.919,1.955,0.0,0.0,7324.0,7630.0,1.0
dL[38],2.037,0.011,2.018,2.056,0.0,0.0,7464.0,7680.0,1.0
dL[39],2.083,0.011,2.064,2.103,0.0,0.0,7531.0,7796.0,1.0
dL[40],2.17,0.011,2.151,2.191,0.0,0.0,7669.0,8052.0,1.0
dL[41],2.287,0.012,2.267,2.307,0.0,0.0,7870.0,8309.0,1.0
dL[42],2.292,0.012,2.271,2.312,0.0,0.0,7878.0,8354.0,1.0
dL[43],2.319,0.012,2.299,2.34,0.0,0.0,7927.0,8381.0,1.0
dL[44],2.33,0.012,2.31,2.351,0.0,0.0,7947.0,8416.0,1.0
dL[45],2.366,0.012,2.345,2.387,0.0,0.0,8015.0,8476.0,1.0
dL[46],2.419,0.012,2.398,2.44,0.0,0.0,8121.0,8507.0,1.0
dL[47],2.497,0.012,2.475,2.517,0.0,0.0,8287.0,8860.0,1.0
dL[48],2.777,0.013,2.754,2.8,0.0,0.0,8962.0,9357.0,1.0
dL[49],2.801,0.013,2.778,2.824,0.0,0.0,9026.0,9358.0,1.0
dL[50],2.893,0.013,2.87,2.916,0.0,0.0,9287.0,9513.0,1.0
dL[51],2.898,0.013,2.874,2.92,0.0,0.0,9300.0,9398.0,1.0
dL[52],2.914,0.013,2.89,2.937,0.0,0.0,9348.0,9379.0,1.0
dL[53],2.914,0.013,2.89,2.937,0.0,0.0,9349.0,9379.0,1.0
dL[54],2.92,0.014,2.896,2.943,0.0,0.0,9367.0,9379.0,1.0
dL[55],2.921,0.014,2.897,2.944,0.0,0.0,9369.0,9417.0,1.0
dL[56],2.975,0.014,2.951,2.999,0.0,0.0,9533.0,9845.0,1.0
dL[57],3.047,0.014,3.022,3.071,0.0,0.0,9760.0,10039.0,1.0
dL[58],3.073,0.014,3.048,3.096,0.0,0.0,9844.0,10060.0,1.0
dL[59],3.235,0.014,3.21,3.261,0.0,0.0,10393.0,10476.0,1.0
dL[60],3.249,0.015,3.224,3.274,0.0,0.0,10440.0,10452.0,1.0
dL[61],3.264,0.015,3.238,3.289,0.0,0.0,10495.0,10478.0,1.0
dL[62],3.29,0.015,3.264,3.315,0.0,0.0,10552.0,10454.0,1.0
dL[63],3.291,0.015,3.266,3.317,0.0,0.0,10558.0,10454.0,1.0
dL[64],3.31,0.015,3.285,3.336,0.0,0.0,10626.0,10361.0,1.0
dL[65],3.37,0.015,3.344,3.396,0.0,0.0,10847.0,10437.0,1.0
dL[66],3.437,0.015,3.411,3.463,0.0,0.0,11101.0,10402.0,1.0
