,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.7,0.015,0.689,0.711,0.001,0.0,4350.0,3242.0,1.0
Omega_m,0.284,0.01,0.267,0.301,0.0,0.0,3838.0,3108.0,1.0
alpha,-0.029,0.424,-0.494,0.459,0.016,0.013,3259.0,2772.0,1.0
dL[0],0.383,0.009,0.378,0.389,0.0,0.0,4400.0,3373.0,1.0
dL[1],0.719,0.014,0.709,0.728,0.0,0.0,4468.0,3385.0,1.0
dL[2],0.848,0.015,0.838,0.859,0.0,0.0,4500.0,3400.0,1.0
dL[3],1.061,0.017,1.048,1.073,0.0,0.0,4567.0,3531.0,1.0
dL[4],1.124,0.017,1.111,1.137,0.0,0.0,4582.0,3578.0,1.0
dL[5],1.174,0.018,1.161,1.188,0.0,0.0,4594.0,3586.0,1.0
dL[6],1.194,0.018,1.18,1.207,0.0,0.0,4601.0,3588.0,1.0
dL[7],1.251,0.018,1.237,1.265,0.0,0.0,4619.0,3651.0,1.0
dL[8],1.463,0.02,1.447,1.478,0.0,0.0,4704.0,3621.0,1.0
dL[9],1.465,0.02,1.449,1.48,0.0,0.0,4705.0,3621.0,1.0
dL[10],1.475,0.02,1.459,1.491,0.0,0.0,4711.0,3645.0,1.0
dL[11],1.487,0.02,1.471,1.503,0.0,0.0,4718.0,3647.0,1.0
dL[12],1.526,0.021,1.509,1.542,0.0,0.0,4739.0,3639.0,1.0
dL[13],1.536,0.021,1.52,1.552,0.0,0.0,4744.0,3740.0,1.0
dL[14],1.539,0.021,1.523,1.555,0.0,0.0,4746.0,3743.0,1.0
dL[15],1.639,0.022,1.622,1.656,0.0,0.0,4804.0,3628.0,1.0
dL[16],1.662,0.022,1.645,1.679,0.0,0.0,4819.0,3698.0,1.0
dL[17],1.671,0.022,1.654,1.688,0.0,0.0,4824.0,3692.0,1.0
dL[18],1.78,0.023,1.763,1.798,0.0,0.0,4907.0,3816.0,1.0
dL[19],1.845,0.024,1.827,1.863,0.0,0.0,4971.0,3815.0,1.0
dL[20],1.859,0.024,1.84,1.877,0.0,0.0,4981.0,3795.0,1.0
dL[21],1.936,0.025,1.917,1.954,0.0,0.0,5057.0,3800.0,1.0
dL[22],1.936,0.025,1.917,1.955,0.0,0.0,5058.0,3800.0,1.0
dL[23],2.037,0.026,2.018,2.057,0.0,0.0,5219.0,4234.0,1.0
dL[24],2.083,0.027,2.064,2.103,0.0,0.0,5392.0,4443.0,1.0
dL[25],2.17,0.028,2.151,2.191,0.0,0.0,5898.0,6306.0,1.0
dL[26],2.287,0.029,2.267,2.308,0.001,0.0,6134.0,6423.0,1.0
dL[27],2.292,0.029,2.272,2.313,0.001,0.0,6140.0,6276.0,1.0
dL[28],2.319,0.03,2.299,2.341,0.001,0.0,6169.0,6155.0,1.0
dL[29],2.33,0.03,2.309,2.351,0.001,0.0,6179.0,6200.0,1.0
dL[30],2.366,0.03,2.345,2.387,0.001,0.0,6219.0,5838.0,1.0
dL[31],2.419,0.031,2.397,2.44,0.001,0.0,6290.0,5880.0,1.0
dL[32],2.497,0.032,2.477,2.52,0.001,0.0,6406.0,5507.0,1.0
dL[33],2.777,0.037,2.754,2.801,0.001,0.001,6760.0,5049.0,1.0
dL[34],2.801,0.037,2.779,2.826,0.001,0.001,6799.0,5088.0,1.0
dL[35],2.894,0.039,2.871,2.919,0.001,0.001,6965.0,5256.0,1.0
