,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.014,0.677,0.723,0.0,0.0,4703.0,4449.0,1.0
Omega_m,0.284,0.01,0.268,0.301,0.0,0.0,5831.0,5527.0,1.0
alpha,0.015,0.557,-0.857,0.876,0.014,0.017,4487.0,4347.0,1.0
dL[0],0.069,0.001,0.067,0.072,0.0,0.0,4713.0,4545.0,1.0
dL[1],0.141,0.003,0.136,0.145,0.0,0.0,4723.0,4581.0,1.0
dL[2],0.141,0.003,0.136,0.145,0.0,0.0,4723.0,4581.0,1.0
dL[3],0.145,0.003,0.141,0.15,0.0,0.0,4724.0,4581.0,1.0
dL[4],0.15,0.003,0.145,0.154,0.0,0.0,4724.0,4607.0,1.0
dL[5],0.172,0.003,0.167,0.178,0.0,0.0,4728.0,4611.0,1.0
dL[6],0.191,0.004,0.185,0.196,0.0,0.0,4730.0,4648.0,1.0
dL[7],0.195,0.004,0.189,0.201,0.0,0.0,4731.0,4648.0,1.0
dL[8],0.209,0.004,0.202,0.215,0.0,0.0,4733.0,4639.0,1.0
dL[9],0.246,0.005,0.238,0.253,0.0,0.0,4739.0,4616.0,1.0
dL[10],0.246,0.005,0.238,0.253,0.0,0.0,4739.0,4616.0,1.0
dL[11],0.26,0.005,0.252,0.268,0.0,0.0,4742.0,4612.0,1.0
dL[12],0.269,0.005,0.261,0.277,0.0,0.0,4743.0,4611.0,1.0
dL[13],0.283,0.006,0.275,0.292,0.0,0.0,4745.0,4596.0,1.0
dL[14],0.302,0.006,0.293,0.311,0.0,0.0,4749.0,4623.0,1.0
dL[15],0.302,0.006,0.293,0.311,0.0,0.0,4749.0,4623.0,1.0
dL[16],0.326,0.006,0.316,0.336,0.0,0.0,4753.0,4600.0,1.0
dL[17],0.364,0.007,0.353,0.375,0.0,0.0,4760.0,4611.0,1.0
dL[18],0.369,0.007,0.358,0.38,0.0,0.0,4761.0,4630.0,1.0
dL[19],0.369,0.007,0.358,0.38,0.0,0.0,4761.0,4630.0,1.0
dL[20],0.374,0.007,0.362,0.385,0.0,0.0,4762.0,4630.0,1.0
dL[21],0.378,0.007,0.367,0.39,0.0,0.0,4763.0,4630.0,1.0
dL[22],0.383,0.007,0.372,0.395,0.0,0.0,4764.0,4603.0,1.0
dL[23],0.388,0.007,0.376,0.4,0.0,0.0,4765.0,4603.0,1.0
dL[24],0.407,0.008,0.395,0.419,0.0,0.0,4768.0,4633.0,1.0
dL[25],0.412,0.008,0.4,0.424,0.0,0.0,4769.0,4633.0,1.0
dL[26],0.432,0.008,0.419,0.444,0.0,0.0,4773.0,4633.0,1.0
dL[27],0.432,0.008,0.419,0.444,0.0,0.0,4773.0,4633.0,1.0
dL[28],0.437,0.008,0.424,0.449,0.0,0.0,4774.0,4633.0,1.0
dL[29],0.466,0.009,0.452,0.48,0.0,0.0,4779.0,4625.0,1.0
dL[30],0.476,0.009,0.462,0.49,0.0,0.0,4782.0,4634.0,1.0
dL[31],0.486,0.009,0.471,0.5,0.0,0.0,4784.0,4629.0,1.0
dL[32],0.516,0.009,0.5,0.53,0.0,0.0,4790.0,4634.0,1.0
dL[33],0.531,0.01,0.515,0.546,0.0,0.0,4793.0,4634.0,1.0
dL[34],0.536,0.01,0.52,0.551,0.0,0.0,4794.0,4634.0,1.0
dL[35],0.541,0.01,0.525,0.556,0.0,0.0,4795.0,4634.0,1.0
dL[36],0.546,0.01,0.53,0.561,0.0,0.0,4796.0,4634.0,1.0
dL[37],0.551,0.01,0.535,0.566,0.0,0.0,4798.0,4639.0,1.0
dL[38],0.556,0.01,0.54,0.572,0.0,0.0,4799.0,4640.0,1.0
dL[39],0.576,0.01,0.559,0.592,0.0,0.0,4803.0,4670.0,1.0
dL[40],0.607,0.011,0.589,0.624,0.0,0.0,4810.0,4690.0,1.0
dL[41],0.627,0.011,0.609,0.644,0.0,0.0,4815.0,4652.0,1.0
dL[42],0.648,0.011,0.629,0.665,0.0,0.0,4820.0,4665.0,1.0
dL[43],0.648,0.011,0.629,0.665,0.0,0.0,4820.0,4665.0,1.0
dL[44],0.699,0.012,0.679,0.718,0.0,0.0,4833.0,4669.0,1.0
dL[45],0.736,0.013,0.715,0.756,0.0,0.0,4842.0,4632.0,1.0
dL[46],0.741,0.013,0.72,0.761,0.0,0.0,4843.0,4632.0,1.0
dL[47],0.746,0.013,0.726,0.767,0.0,0.0,4845.0,4636.0,1.0
dL[48],0.805,0.014,0.782,0.826,0.0,0.0,4859.0,4648.0,1.0
dL[49],0.831,0.014,0.808,0.853,0.0,0.0,4866.0,4662.0,1.0
dL[50],3.112,0.029,3.061,3.164,0.0,0.0,6571.0,6048.0,1.0
dL[51],4.159,0.033,4.1,4.219,0.0,0.0,9803.0,7349.0,1.0
dL[52],6.612,0.055,6.51,6.713,0.001,0.0,11228.0,8105.0,1.0
dL[53],8.438,0.087,8.281,8.592,0.001,0.001,7148.0,6161.0,1.0
dL[54],11.602,0.161,11.33,11.885,0.003,0.002,5707.0,5381.0,1.0
dL[55],12.145,0.175,11.85,12.451,0.003,0.002,5618.0,5284.0,1.0
dL[56],13.497,0.213,13.139,13.864,0.004,0.003,5440.0,5101.0,1.0
dL[57],15.177,0.262,14.751,15.635,0.006,0.004,5295.0,4989.0,1.0
dL[58],17.061,0.319,16.531,17.604,0.007,0.005,5185.0,4900.0,1.0
dL[59],21.138,0.451,20.41,21.91,0.01,0.007,5050.0,4778.0,1.0
dL[60],43.656,1.258,41.604,45.648,0.031,0.023,4852.0,4754.0,1.0
dL[61],46.234,1.354,44.014,48.358,0.033,0.025,4845.0,4652.0,1.0
dL[62],49.671,1.483,47.254,51.996,0.036,0.027,4836.0,4712.0,1.0
dL[63],56.414,1.737,53.608,59.134,0.043,0.032,4821.0,4654.0,1.0
dL[64],69.832,2.245,66.107,73.205,0.056,0.042,4804.0,4564.0,1.0
correction,1.0,0.049,0.919,1.081,0.001,0.001,4487.0,4343.0,1.0
Delta[0],23.816,0.0,23.815,23.816,0.0,0.0,5831.0,5527.0,1.0
Delta[1],23.756,0.0,23.756,23.757,0.0,0.0,5831.0,5527.0,1.0
Delta[2],23.782,0.0,23.781,23.783,0.0,0.0,5831.0,5527.0,1.0
Delta[3],23.781,0.001,23.78,23.782,0.0,0.0,5831.0,5527.0,1.0
