,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.723,0.034,0.659,0.786,0.001,0.0,4060.0,4539.0,1.0
Omega_m,0.285,0.009,0.268,0.301,0.0,0.0,5998.0,6049.0,1.0
alpha,0.386,0.965,-1.347,2.176,0.016,0.016,3881.0,4249.0,1.0
dL[0],6.514,0.099,6.328,6.698,0.001,0.001,7240.0,7135.0,1.0
dL[1],6.986,0.1,6.794,7.169,0.001,0.001,8375.0,7515.0,1.0
dL[2],7.504,0.102,7.31,7.692,0.001,0.001,9852.0,8344.0,1.0
dL[3],14.65,0.246,14.199,15.117,0.003,0.002,7593.0,7972.0,1.0
dL[4],16.171,0.297,15.606,16.716,0.004,0.003,6679.0,7413.0,1.0
dL[5],20.598,0.465,19.72,21.455,0.006,0.004,5523.0,6938.0,1.0
dL[6],23.746,0.594,22.603,24.818,0.008,0.006,5191.0,6513.0,1.0
dL[7],25.579,0.672,24.316,26.823,0.01,0.007,5065.0,6379.0,1.0
dL[8],32.212,0.964,30.406,34.006,0.014,0.01,4799.0,6120.0,1.0
dL[9],40.66,1.35,38.118,43.156,0.02,0.014,4644.0,5749.0,1.0
dL[10],40.747,1.354,38.198,43.251,0.02,0.014,4643.0,5770.0,1.0
dL[11],48.639,1.723,45.495,51.909,0.026,0.019,4567.0,5637.0,1.0
dL[12],56.154,2.077,52.319,60.046,0.032,0.022,4519.0,5609.0,1.0
dL[13],62.863,2.394,58.449,67.352,0.037,0.026,4490.0,5502.0,1.0
dL[14],75.425,2.991,69.714,80.818,0.046,0.033,4453.0,5413.0,1.0
correction,1.031,0.086,0.867,1.187,0.001,0.001,3881.0,4249.0,1.0
Delta[0],23.816,0.0,23.815,23.816,0.0,0.0,5998.0,6049.0,1.0
Delta[1],23.756,0.0,23.756,23.757,0.0,0.0,5998.0,6049.0,1.0
Delta[2],23.782,0.0,23.781,23.783,0.0,0.0,5998.0,6049.0,1.0
Delta[3],23.781,0.0,23.78,23.782,0.0,0.0,5998.0,6049.0,1.0
Delta[4],23.782,0.001,23.781,23.783,0.0,0.0,5998.0,6049.0,1.0
Delta[5],23.773,0.001,23.771,23.774,0.0,0.0,5998.0,6049.0,1.0
Delta[6],23.743,0.001,23.741,23.745,0.0,0.0,5998.0,6049.0,1.0
Delta[7],23.775,0.001,23.773,23.777,0.0,0.0,5998.0,6049.0,1.0
Delta[8],23.771,0.001,23.769,23.773,0.0,0.0,5998.0,6049.0,1.0
Delta[9],23.879,0.001,23.876,23.881,0.0,0.0,5998.0,6049.0,1.0
Delta[10],23.814,0.001,23.811,23.816,0.0,0.0,5998.0,6049.0,1.0
Delta[11],23.877,0.002,23.875,23.88,0.0,0.0,5998.0,6049.0,1.0
Delta[12],23.854,0.002,23.851,23.856,0.0,0.0,5998.0,6049.0,1.0
Delta[13],23.797,0.002,23.793,23.8,0.0,0.0,5998.0,6049.0,1.0
Delta[14],23.823,0.002,23.82,23.827,0.0,0.0,5998.0,6049.0,1.0
Delta[15],23.878,0.002,23.874,23.882,0.0,0.0,5998.0,6049.0,1.0
Delta[16],23.803,0.002,23.799,23.808,0.0,0.0,5998.0,6049.0,1.0
Delta[17],23.748,0.002,23.743,23.752,0.0,0.0,5998.0,6049.0,1.0
Delta[18],23.821,0.003,23.816,23.826,0.0,0.0,5998.0,6049.0,1.0
Delta[19],23.819,0.003,23.814,23.824,0.0,0.0,5998.0,6049.0,1.0
Delta[20],23.803,0.003,23.797,23.808,0.0,0.0,5998.0,6049.0,1.0
Delta[21],23.808,0.003,23.802,23.814,0.0,0.0,5998.0,6049.0,1.0
Delta[22],23.798,0.004,23.791,23.804,0.0,0.0,5998.0,6049.0,1.0
Delta[23],23.797,0.004,23.791,23.804,0.0,0.0,5998.0,6049.0,1.0
Delta[24],23.766,0.004,23.759,23.774,0.0,0.0,5998.0,6049.0,1.0
Delta[25],23.798,0.004,23.791,23.806,0.0,0.0,5998.0,6049.0,1.0
Delta[26],23.835,0.005,23.826,23.843,0.0,0.0,5998.0,6049.0,1.0
Delta[27],23.807,0.005,23.798,23.816,0.0,0.0,5998.0,6049.0,1.0
Delta[28],23.802,0.005,23.792,23.812,0.0,0.0,5998.0,6049.0,1.0
Delta[29],23.813,0.006,23.803,23.824,0.0,0.0,5998.0,6049.0,1.0
Delta[30],23.803,0.006,23.792,23.814,0.0,0.0,5998.0,6049.0,1.0
Delta[31],23.824,0.007,23.812,23.836,0.0,0.0,5998.0,6049.0,1.0
Delta[32],23.797,0.007,23.784,23.811,0.0,0.0,5998.0,6049.0,1.0
Delta[33],23.822,0.008,23.808,23.837,0.0,0.0,5998.0,6049.0,1.0
Delta[34],23.781,0.009,23.765,23.796,0.0,0.0,5998.0,6049.0,1.0
Delta[35],23.773,0.01,23.756,23.79,0.0,0.0,5998.0,6049.0,1.0
Delta[36],23.814,0.011,23.795,23.833,0.0,0.0,5998.0,6049.0,1.0
Delta[37],23.814,0.012,23.794,23.836,0.0,0.0,5998.0,6049.0,1.0
Delta[38],23.775,0.014,23.75,23.801,0.0,0.0,5998.0,6049.0,1.0
Delta[39],23.675,0.016,23.647,23.705,0.0,0.0,5998.0,6049.0,1.0
A,32618940.837,10793.354,32599916.027,32638667.87,149.202,105.529,5998.0,6049.0,1.0
B,1370372.283,226.702,1369972.589,1370786.593,3.133,2.216,5998.0,6049.0,1.0
C,57571.555,0.0,57571.555,57571.555,0.0,0.0,14000.0,14000.0,
