,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Omega_m,0.335,0.013,0.311,0.358,0.0,0.0,5106.0,7511.0,1.0
lambda,0.386,0.005,0.377,0.395,0.0,0.0,5106.0,7511.0,1.0
deriv_0,0.375,0.017,0.342,0.406,0.0,0.0,5106.0,7511.0,1.0
"S[0, 0]",1.005,0.0,1.005,1.006,0.0,0.0,5106.0,7511.0,1.0
"S[0, 1]",0.014,0.0,0.014,0.014,0.0,0.0,5106.0,7511.0,1.0
"S[1, 0]",1.007,0.0,1.007,1.008,0.0,0.0,5106.0,7511.0,1.0
"S[1, 1]",0.019,0.0,0.019,0.019,0.0,0.0,5106.0,7511.0,1.0
"S[2, 0]",1.01,0.0,1.009,1.011,0.0,0.0,5106.0,7511.0,1.0
"S[2, 1]",0.026,0.0,0.026,0.026,0.0,0.0,5106.0,7511.0,1.0
"S[3, 0]",1.013,0.001,1.012,1.014,0.0,0.0,5106.0,7511.0,1.0
"S[3, 1]",0.033,0.0,0.033,0.033,0.0,0.0,5106.0,7511.0,1.0
"S[4, 0]",1.015,0.001,1.014,1.017,0.0,0.0,5106.0,7511.0,1.0
"S[4, 1]",0.039,0.0,0.039,0.039,0.0,0.0,5106.0,7511.0,1.0
"S[5, 0]",1.019,0.001,1.017,1.02,0.0,0.0,5106.0,7511.0,1.0
"S[5, 1]",0.047,0.0,0.047,0.047,0.0,0.0,5106.0,7511.0,1.0
"S[6, 0]",1.022,0.001,1.02,1.024,0.0,0.0,5106.0,7511.0,1.0
"S[6, 1]",0.055,0.0,0.055,0.055,0.0,0.0,5106.0,7511.0,1.0
"S[7, 0]",1.026,0.001,1.023,1.028,0.0,0.0,5106.0,7511.0,1.0
"S[7, 1]",0.063,0.0,0.063,0.063,0.0,0.0,5106.0,7511.0,1.0
"S[8, 0]",1.029,0.001,1.027,1.031,0.0,0.0,5106.0,7511.0,1.0
"S[8, 1]",0.071,0.0,0.071,0.071,0.0,0.0,5106.0,7511.0,1.0
"S[9, 0]",1.033,0.002,1.03,1.036,0.0,0.0,5106.0,7511.0,1.0
"S[9, 1]",0.08,0.0,0.08,0.08,0.0,0.0,5106.0,7511.0,1.0
"S[10, 0]",1.037,0.002,1.033,1.039,0.0,0.0,5106.0,7511.0,1.0
"S[10, 1]",0.087,0.0,0.087,0.087,0.0,0.0,5106.0,7511.0,1.0
"S[11, 0]",1.042,0.002,1.038,1.045,0.0,0.0,5106.0,7511.0,1.0
"S[11, 1]",0.098,0.0,0.098,0.098,0.0,0.0,5106.0,7511.0,1.0
"S[12, 0]",1.045,0.002,1.041,1.048,0.0,0.0,5106.0,7511.0,1.0
"S[12, 1]",0.105,0.0,0.105,0.105,0.0,0.0,5106.0,7511.0,1.0
"S[13, 0]",1.051,0.002,1.046,1.055,0.0,0.0,5106.0,7511.0,1.0
"S[13, 1]",0.117,0.0,0.116,0.117,0.0,0.0,5106.0,7511.0,1.0
"S[14, 0]",1.055,0.002,1.05,1.059,0.0,0.0,5106.0,7511.0,1.0
"S[14, 1]",0.125,0.0,0.124,0.125,0.0,0.0,5106.0,7511.0,1.0
"S[15, 0]",1.06,0.003,1.055,1.065,0.0,0.0,5106.0,7511.0,1.0
"S[15, 1]",0.136,0.0,0.135,0.136,0.0,0.0,5106.0,7511.0,1.0
"S[16, 0]",1.066,0.003,1.061,1.072,0.0,0.0,5106.0,7511.0,1.0
"S[16, 1]",0.147,0.0,0.147,0.148,0.0,0.0,5106.0,7511.0,1.0
"S[17, 0]",1.072,0.003,1.066,1.078,0.0,0.0,5106.0,7511.0,1.0
"S[17, 1]",0.158,0.0,0.158,0.159,0.0,0.0,5106.0,7511.0,1.0
"S[18, 0]",1.08,0.004,1.073,1.086,0.0,0.0,5106.0,7511.0,1.0
"S[18, 1]",0.171,0.0,0.171,0.172,0.0,0.0,5106.0,7511.0,1.0
"S[19, 0]",1.086,0.004,1.079,1.093,0.0,0.0,5106.0,7511.0,1.0
"S[19, 1]",0.183,0.0,0.183,0.184,0.0,0.0,5106.0,7511.0,1.0
"S[20, 0]",1.095,0.004,1.087,1.103,0.0,0.0,5106.0,7511.0,1.0
"S[20, 1]",0.198,0.0,0.197,0.199,0.0,0.0,5106.0,7511.0,1.0
"S[21, 0]",1.103,0.005,1.095,1.111,0.0,0.0,5106.0,7511.0,1.0
"S[21, 1]",0.212,0.0,0.211,0.212,0.0,0.0,5106.0,7511.0,1.0
"S[22, 0]",1.114,0.005,1.104,1.123,0.0,0.0,5106.0,7511.0,1.0
"S[22, 1]",0.229,0.001,0.228,0.23,0.0,0.0,5106.0,7511.0,1.0
"S[23, 0]",1.123,0.005,1.113,1.133,0.0,0.0,5106.0,7511.0,1.0
"S[23, 1]",0.242,0.001,0.241,0.243,0.0,0.0,5106.0,7511.0,1.0
"S[24, 0]",1.135,0.006,1.124,1.146,0.0,0.0,5106.0,7511.0,1.0
"S[24, 1]",0.26,0.001,0.259,0.262,0.0,0.0,5106.0,7511.0,1.0
"S[25, 0]",1.148,0.006,1.136,1.16,0.0,0.0,5106.0,7511.0,1.0
"S[25, 1]",0.279,0.001,0.277,0.28,0.0,0.0,5106.0,7511.0,1.0
"S[26, 0]",1.164,0.007,1.15,1.176,0.0,0.0,5106.0,7511.0,1.0
"S[26, 1]",0.3,0.001,0.298,0.301,0.0,0.0,5106.0,7511.0,1.0
"S[27, 0]",1.179,0.008,1.165,1.193,0.0,0.0,5106.0,7511.0,1.0
"S[27, 1]",0.32,0.001,0.318,0.322,0.0,0.0,5106.0,7511.0,1.0
"S[28, 0]",1.197,0.008,1.181,1.212,0.0,0.0,5106.0,7511.0,1.0
