,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.703,0.005,0.693,0.712,0.0,0.0,3282.0,3833.0,1.0
Omega_m,0.243,0.014,0.217,0.269,0.0,0.0,3134.0,3468.0,1.0
dGW[0],0.382,0.002,0.378,0.387,0.0,0.0,3422.0,4159.0,1.0
dGW[1],0.717,0.004,0.71,0.725,0.0,0.0,3599.0,4481.0,1.0
dGW[2],0.846,0.005,0.838,0.856,0.0,0.0,3683.0,4815.0,1.0
dGW[3],1.059,0.006,1.049,1.07,0.0,0.0,3847.0,4944.0,1.0
dGW[4],1.07,0.006,1.059,1.08,0.0,0.0,3856.0,4916.0,1.0
dGW[5],1.122,0.006,1.111,1.133,0.0,0.0,3902.0,5107.0,1.0
dGW[6],1.172,0.006,1.161,1.183,0.0,0.0,3948.0,5233.0,1.0
dGW[7],1.191,0.006,1.18,1.203,0.0,0.0,3966.0,5239.0,1.0
dGW[8],1.249,0.006,1.237,1.261,0.0,0.0,4022.0,5316.0,1.0
dGW[9],1.46,0.007,1.447,1.473,0.0,0.0,4257.0,5443.0,1.0
dGW[10],1.462,0.007,1.449,1.475,0.0,0.0,4259.0,5443.0,1.0
dGW[11],1.473,0.007,1.459,1.486,0.0,0.0,4272.0,5462.0,1.0
dGW[12],1.485,0.007,1.471,1.498,0.0,0.0,4287.0,5455.0,1.0
dGW[13],1.523,0.007,1.509,1.536,0.0,0.0,4337.0,5804.0,1.0
dGW[14],1.534,0.007,1.52,1.547,0.0,0.0,4351.0,5804.0,1.0
dGW[15],1.537,0.007,1.523,1.55,0.0,0.0,4355.0,5818.0,1.0
dGW[16],1.637,0.008,1.622,1.65,0.0,0.0,4492.0,6049.0,1.0
dGW[17],1.659,0.008,1.646,1.674,0.0,0.0,4526.0,6192.0,1.0
dGW[18],1.668,0.008,1.654,1.683,0.0,0.0,4540.0,6191.0,1.0
dGW[19],1.778,0.008,1.763,1.793,0.0,0.0,4710.0,6222.0,1.0
dGW[20],1.843,0.008,1.827,1.857,0.0,0.0,4820.0,6362.0,1.0
dGW[21],1.856,0.008,1.841,1.871,0.0,0.0,4843.0,6362.0,1.0
dGW[22],1.933,0.009,1.917,1.948,0.0,0.0,4982.0,6580.0,1.0
dGW[23],1.934,0.009,1.918,1.949,0.0,0.0,4983.0,6580.0,1.0
dGW[24],2.034,0.009,2.018,2.05,0.0,0.0,5180.0,6863.0,1.0
dGW[25],2.08,0.009,2.063,2.096,0.0,0.0,5276.0,6955.0,1.0
dGW[26],2.168,0.009,2.151,2.184,0.0,0.0,5473.0,7160.0,1.0
dGW[27],2.284,0.01,2.267,2.302,0.0,0.0,5764.0,7478.0,1.0
dGW[28],2.289,0.01,2.272,2.306,0.0,0.0,5776.0,7478.0,1.0
