,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.008,0.688,0.71,0.0,0.0,2643.0,1996.0,1.0
Omega_m,0.258,0.021,0.225,0.288,0.001,0.001,2328.0,1780.0,1.0
dGW[0],0.384,0.004,0.379,0.389,0.0,0.0,2732.0,2075.0,1.0
dGW[1],0.72,0.007,0.711,0.729,0.0,0.0,2839.0,2214.0,1.0
dGW[2],0.849,0.007,0.839,0.86,0.0,0.0,2893.0,2333.0,1.0
dGW[3],1.062,0.009,1.05,1.074,0.0,0.0,2991.0,2357.0,1.0
dGW[4],1.125,0.009,1.113,1.138,0.0,0.0,3022.0,2367.0,1.0
dGW[5],1.176,0.01,1.163,1.189,0.0,0.0,3049.0,2366.0,1.0
dGW[6],1.195,0.01,1.182,1.208,0.0,0.0,3059.0,2367.0,1.0
dGW[7],1.252,0.01,1.239,1.266,0.0,0.0,3090.0,2407.0,1.0
dGW[8],1.464,0.012,1.449,1.479,0.0,0.0,3218.0,2513.0,1.0
dGW[9],1.466,0.012,1.451,1.481,0.0,0.0,3219.0,2513.0,1.0
dGW[10],1.476,0.012,1.461,1.492,0.0,0.0,3226.0,2515.0,1.0
dGW[11],1.488,0.012,1.473,1.504,0.0,0.0,3235.0,2535.0,1.0
dGW[12],1.527,0.012,1.511,1.542,0.0,0.0,3262.0,2583.0,1.0
dGW[13],1.537,0.012,1.521,1.553,0.0,0.0,3270.0,2584.0,1.0
dGW[14],1.54,0.012,1.524,1.556,0.0,0.0,3273.0,2591.0,1.0
dGW[15],1.64,0.013,1.624,1.656,0.0,0.0,3350.0,2625.0,1.0
dGW[16],1.663,0.013,1.646,1.679,0.0,0.0,3369.0,2641.0,1.0
dGW[17],1.672,0.013,1.655,1.688,0.0,0.0,3376.0,2639.0,1.0
dGW[18],1.781,0.014,1.764,1.798,0.0,0.0,3468.0,2666.0,1.0
dGW[19],1.846,0.014,1.829,1.864,0.0,0.0,3528.0,2651.0,1.0
dGW[20],1.859,0.014,1.842,1.877,0.0,0.0,3540.0,2654.0,1.0
dGW[21],1.936,0.015,1.918,1.954,0.0,0.0,3617.0,2666.0,1.0
dGW[22],1.937,0.015,1.919,1.955,0.0,0.0,3618.0,2666.0,1.0
dGW[23],2.037,0.015,2.019,2.056,0.0,0.0,3729.0,2799.0,1.0
dGW[24],2.083,0.015,2.064,2.102,0.0,0.0,3784.0,2850.0,1.0
dGW[25],2.17,0.016,2.151,2.19,0.0,0.0,3901.0,2840.0,1.0
dGW[26],2.287,0.017,2.268,2.307,0.0,0.0,4083.0,2863.0,1.0
dGW[27],2.292,0.017,2.272,2.312,0.0,0.0,4091.0,2863.0,1.0
dGW[28],2.319,0.017,2.299,2.34,0.0,0.0,4138.0,3002.0,1.0
dGW[29],2.33,0.017,2.311,2.351,0.0,0.0,4159.0,2962.0,1.0
