,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.671,0.007,0.658,0.684,0.0,0.0,2686.0,2707.0,1.0
Omega_m,0.389,0.028,0.339,0.441,0.001,0.0,2671.0,2958.0,1.0
dGW[0],0.748,0.006,0.737,0.76,0.0,0.0,2838.0,2962.0,1.0
dGW[1],0.783,0.007,0.772,0.795,0.0,0.0,2849.0,2982.0,1.0
dGW[2],1.056,0.008,1.042,1.071,0.0,0.0,2947.0,3147.0,1.0
dGW[3],1.06,0.008,1.046,1.074,0.0,0.0,2948.0,3147.0,1.0
dGW[4],1.238,0.009,1.223,1.254,0.0,0.0,3029.0,3189.0,1.0
dGW[5],1.289,0.009,1.274,1.306,0.0,0.0,3054.0,3175.0,1.0
dGW[6],1.328,0.009,1.312,1.344,0.0,0.0,3075.0,3190.0,1.0
dGW[7],1.362,0.009,1.346,1.379,0.0,0.0,3094.0,3222.0,1.0
dGW[8],1.374,0.01,1.358,1.391,0.0,0.0,3101.0,3230.0,1.0
dGW[9],1.475,0.01,1.458,1.492,0.0,0.0,3164.0,3285.0,1.0
dGW[10],1.531,0.01,1.514,1.549,0.0,0.0,3202.0,3331.0,1.0
dGW[11],1.549,0.01,1.532,1.567,0.0,0.0,3214.0,3331.0,1.0
dGW[12],1.635,0.01,1.618,1.654,0.0,0.0,3278.0,3282.0,1.0
dGW[13],1.677,0.011,1.659,1.696,0.0,0.0,3311.0,3411.0,1.0
dGW[14],1.757,0.011,1.739,1.777,0.0,0.0,3377.0,3513.0,1.0
dGW[15],1.786,0.011,1.768,1.806,0.0,0.0,3403.0,3497.0,1.0
dGW[16],1.808,0.011,1.79,1.828,0.0,0.0,3423.0,3609.0,1.0
dGW[17],1.859,0.011,1.84,1.879,0.0,0.0,3471.0,3642.0,1.0
dGW[18],1.925,0.011,1.906,1.945,0.0,0.0,3537.0,3768.0,1.0
dGW[19],2.005,0.012,1.986,2.026,0.0,0.0,3624.0,3984.0,1.0
dGW[20],2.007,0.012,1.988,2.028,0.0,0.0,3626.0,3984.0,1.0
dGW[21],2.01,0.012,1.991,2.031,0.0,0.0,3629.0,3998.0,1.0
dGW[22],2.01,0.012,1.991,2.031,0.0,0.0,3629.0,3998.0,1.0
dGW[23],2.069,0.012,2.049,2.09,0.0,0.0,3698.0,4168.0,1.0
dGW[24],2.085,0.012,2.065,2.106,0.0,0.0,3718.0,4318.0,1.0
dGW[25],2.113,0.012,2.093,2.134,0.0,0.0,3753.0,4429.0,1.0
dGW[26],2.14,0.012,2.12,2.161,0.0,0.0,3788.0,4460.0,1.0
dGW[27],2.148,0.012,2.128,2.169,0.0,0.0,3799.0,4561.0,1.0
dGW[28],2.209,0.012,2.189,2.23,0.0,0.0,3882.0,4772.0,1.0
dGW[29],2.222,0.012,2.202,2.244,0.0,0.0,3901.0,4897.0,1.0
dGW[30],2.256,0.012,2.236,2.278,0.0,0.0,3952.0,4959.0,1.0
dGW[31],2.309,0.012,2.288,2.331,0.0,0.0,4036.0,5166.0,1.0
dGW[32],2.311,0.012,2.29,2.333,0.0,0.0,4039.0,5166.0,1.0
dGW[33],2.38,0.013,2.359,2.402,0.0,0.0,4152.0,5224.0,1.0
dGW[34],2.396,0.013,2.374,2.418,0.0,0.0,4180.0,5224.0,1.0
dGW[35],2.419,0.013,2.398,2.441,0.0,0.0,4221.0,5240.0,1.0
dGW[36],2.443,0.013,2.422,2.466,0.0,0.0,4266.0,5274.0,1.0
dGW[37],2.478,0.013,2.456,2.5,0.0,0.0,4333.0,5264.0,1.0
dGW[38],2.479,0.013,2.457,2.5,0.0,0.0,4334.0,5264.0,1.0
dGW[39],2.513,0.013,2.491,2.535,0.0,0.0,4401.0,5256.0,1.0
dGW[40],2.521,0.013,2.499,2.543,0.0,0.0,4417.0,5280.0,1.0
dGW[41],2.593,0.013,2.571,2.615,0.0,0.0,4573.0,5470.0,1.0
dGW[42],2.599,0.013,2.577,2.622,0.0,0.0,4588.0,5596.0,1.0
dGW[43],2.628,0.013,2.605,2.65,0.0,0.0,4654.0,5776.0,1.0
dGW[44],2.638,0.013,2.616,2.661,0.0,0.0,4680.0,5773.0,1.0
dGW[45],2.67,0.013,2.648,2.693,0.0,0.0,4759.0,5768.0,1.0
dGW[46],2.681,0.013,2.659,2.704,0.0,0.0,4789.0,5840.0,1.0
dGW[47],2.699,0.013,2.677,2.722,0.0,0.0,4835.0,5867.0,1.0
dGW[48],2.702,0.013,2.68,2.725,0.0,0.0,4844.0,5934.0,1.0
dGW[49],2.737,0.013,2.715,2.76,0.0,0.0,4942.0,6055.0,1.0
dGW[50],2.742,0.013,2.72,2.765,0.0,0.0,4957.0,6156.0,1.0
dGW[51],2.749,0.013,2.726,2.772,0.0,0.0,4977.0,6411.0,1.0
dGW[52],2.827,0.014,2.805,2.851,0.0,0.0,5216.0,6709.0,1.0
dGW[53],2.874,0.014,2.852,2.898,0.0,0.0,5370.0,6798.0,1.0
