,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.724,0.017,0.694,0.755,0.0,0.0,5289.0,5849.0,1.0
Omega_m,0.206,0.034,0.148,0.27,0.001,0.0,5323.0,5507.0,1.0
dGW[0],3.147,0.038,3.078,3.215,0.0,0.0,8267.0,11533.0,1.0
dGW[1],7.086,0.073,6.952,7.219,0.001,0.0,25301.0,18295.0,1.0
dGW[2],8.095,0.089,7.926,8.25,0.001,0.0,21652.0,17682.0,1.0
dGW[3],15.678,0.269,15.183,16.183,0.003,0.002,9063.0,10190.0,1.0
dGW[4],18.602,0.355,17.93,19.255,0.004,0.003,8254.0,9288.0,1.0
dGW[5],33.382,0.846,31.766,34.938,0.01,0.007,7006.0,8069.0,1.0
dGW[6],34.349,0.88,32.667,35.968,0.011,0.008,6973.0,7978.0,1.0
dGW[7],35.253,0.911,33.551,36.971,0.011,0.008,6946.0,7937.0,1.0
dGW[8],42.922,1.183,40.767,45.21,0.014,0.01,6772.0,7754.0,1.0
dGW[9],44.212,1.229,41.888,46.504,0.015,0.011,6750.0,7780.0,1.0
dGW[10],46.11,1.297,43.665,48.535,0.016,0.011,6721.0,7712.0,1.0
dGW[11],46.16,1.299,43.712,48.59,0.016,0.011,6720.0,7712.0,1.0
dGW[12],48.467,1.382,45.866,51.056,0.017,0.012,6688.0,7640.0,1.0
dGW[13],50.168,1.443,47.4,52.825,0.018,0.013,6667.0,7608.0,1.0
dGW[14],60.093,1.805,56.624,63.406,0.022,0.016,6571.0,7574.0,1.0
correction,0.935,0.004,0.928,0.943,0.0,0.0,5323.0,5507.0,1.0
E,8.297,0.671,7.105,9.556,0.01,0.007,5323.0,5507.0,1.0
k,2.998,0.0,2.998,2.998,0.0,0.0,28000.0,28000.0,
lambda,0.433,0.012,0.411,0.454,0.0,0.0,5323.0,5507.0,1.0
deriv_0,0.285,0.055,0.194,0.384,0.001,0.001,5323.0,5507.0,1.0
"S[0, 0]",1.198,0.036,1.136,1.263,0.001,0.0,5323.0,5507.0,1.0
"S[0, 1]",0.509,0.007,0.497,0.521,0.0,0.0,5323.0,5507.0,1.0
"S[1, 0]",1.532,0.084,1.385,1.687,0.001,0.001,5323.0,5507.0,1.0
"S[1, 1]",0.883,0.022,0.841,0.922,0.0,0.0,5323.0,5507.0,1.0
"S[2, 0]",1.627,0.095,1.459,1.804,0.001,0.001,5323.0,5507.0,1.0
"S[2, 1]",0.957,0.026,0.908,1.004,0.0,0.0,5323.0,5507.0,1.0
"S[3, 0]",2.419,0.176,2.109,2.752,0.003,0.002,5323.0,5507.0,1.0
"S[3, 1]",1.363,0.053,1.266,1.46,0.001,0.001,5323.0,5507.0,1.0
"S[4, 0]",2.749,0.207,2.384,3.137,0.003,0.002,5323.0,5507.0,1.0
"S[4, 1]",1.475,0.061,1.363,1.588,0.001,0.001,5323.0,5507.0,1.0
"S[5, 0]",4.559,0.362,3.916,5.238,0.005,0.004,5323.0,5507.0,1.0
"S[5, 1]",1.864,0.09,1.694,2.03,0.001,0.001,5323.0,5507.0,1.0
"S[6, 0]",4.684,0.373,4.023,5.383,0.005,0.004,5323.0,5507.0,1.0
"S[6, 1]",1.883,0.092,1.71,2.051,0.001,0.001,5323.0,5507.0,1.0
"S[7, 0]",4.803,0.382,4.124,5.52,0.006,0.004,5323.0,5507.0,1.0
"S[7, 1]",1.9,0.093,1.725,2.071,0.001,0.001,5323.0,5507.0,1.0
"S[8, 0]",5.832,0.468,5.001,6.71,0.007,0.005,5323.0,5507.0,1.0
"S[8, 1]",2.029,0.103,1.835,2.218,0.001,0.001,5323.0,5507.0,1.0
"S[9, 0]",6.009,0.483,5.153,6.915,0.007,0.005,5323.0,5507.0,1.0
"S[9, 1]",2.048,0.104,1.851,2.24,0.001,0.001,5323.0,5507.0,1.0
"S[10, 0]",6.273,0.505,5.377,7.22,0.007,0.005,5323.0,5507.0,1.0
"S[10, 1]",2.075,0.107,1.874,2.271,0.001,0.001,5323.0,5507.0,1.0
"S[11, 0]",6.28,0.505,5.384,7.228,0.007,0.005,5323.0,5507.0,1.0
"S[11, 1]",2.075,0.107,1.875,2.272,0.001,0.001,5323.0,5507.0,1.0
"S[12, 0]",6.605,0.532,5.66,7.602,0.008,0.006,5323.0,5507.0,1.0
"S[12, 1]",2.106,0.109,1.902,2.308,0.002,0.001,5323.0,5507.0,1.0
"S[13, 0]",6.846,0.552,5.866,7.881,0.008,0.006,5323.0,5507.0,1.0
"S[13, 1]",2.128,0.111,1.92,2.333,0.002,0.001,5323.0,5507.0,1.0
"S[14, 0]",8.297,0.671,7.105,9.556,0.01,0.007,5323.0,5507.0,1.0
"S[14, 1]",2.24,0.12,2.017,2.462,0.002,0.001,5323.0,5507.0,1.0
