,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.702,0.023,0.659,0.744,0.0,0.0,2475.0,2711.0,1.0
Omega_m,0.213,0.036,0.151,0.28,0.001,0.001,2495.0,2619.0,1.0
dGW[0],0.069,0.002,0.065,0.073,0.0,0.0,2479.0,2695.0,1.0
dGW[1],0.14,0.004,0.132,0.149,0.0,0.0,2483.0,2727.0,1.0
dGW[2],0.14,0.004,0.132,0.149,0.0,0.0,2483.0,2727.0,1.0
dGW[3],0.145,0.005,0.136,0.153,0.0,0.0,2484.0,2727.0,1.0
dGW[4],0.149,0.005,0.141,0.158,0.0,0.0,2484.0,2724.0,1.0
dGW[5],0.172,0.005,0.162,0.182,0.0,0.0,2485.0,2724.0,1.0
dGW[6],0.19,0.006,0.179,0.201,0.0,0.0,2486.0,2750.0,1.0
dGW[7],0.195,0.006,0.183,0.206,0.0,0.0,2486.0,2750.0,1.0
dGW[8],0.209,0.007,0.197,0.221,0.0,0.0,2487.0,2747.0,1.0
dGW[9],0.246,0.008,0.232,0.26,0.0,0.0,2490.0,2752.0,1.0
dGW[10],0.246,0.008,0.232,0.26,0.0,0.0,2490.0,2752.0,1.0
dGW[11],0.26,0.008,0.245,0.275,0.0,0.0,2491.0,2752.0,1.0
dGW[12],0.269,0.008,0.254,0.284,0.0,0.0,2491.0,2763.0,1.0
dGW[13],0.283,0.009,0.267,0.299,0.0,0.0,2492.0,2767.0,1.0
dGW[14],0.302,0.009,0.285,0.319,0.0,0.0,2493.0,2772.0,1.0
dGW[15],0.302,0.009,0.285,0.319,0.0,0.0,2493.0,2772.0,1.0
dGW[16],0.326,0.01,0.307,0.344,0.0,0.0,2495.0,2782.0,1.0
dGW[17],0.364,0.011,0.343,0.384,0.0,0.0,2498.0,2767.0,1.0
dGW[18],0.369,0.011,0.348,0.39,0.0,0.0,2498.0,2767.0,1.0
dGW[19],0.369,0.011,0.348,0.39,0.0,0.0,2498.0,2767.0,1.0
dGW[20],0.374,0.011,0.353,0.395,0.0,0.0,2499.0,2767.0,1.0
dGW[21],0.378,0.011,0.357,0.4,0.0,0.0,2499.0,2767.0,1.0
dGW[22],0.383,0.012,0.362,0.405,0.0,0.0,2499.0,2767.0,1.0
dGW[23],0.388,0.012,0.366,0.41,0.0,0.0,2499.0,2772.0,1.0
dGW[24],0.407,0.012,0.385,0.43,0.0,0.0,2501.0,2772.0,1.0
dGW[25],0.412,0.012,0.389,0.435,0.0,0.0,2501.0,2775.0,1.0
dGW[26],0.432,0.013,0.408,0.456,0.0,0.0,2503.0,2775.0,1.0
dGW[27],0.432,0.013,0.408,0.456,0.0,0.0,2503.0,2775.0,1.0
dGW[28],0.437,0.013,0.412,0.461,0.0,0.0,2503.0,2775.0,1.0
dGW[29],0.466,0.014,0.441,0.492,0.0,0.0,2505.0,2779.0,1.0
dGW[30],0.476,0.014,0.45,0.503,0.0,0.0,2506.0,2785.0,1.0
dGW[31],0.486,0.014,0.46,0.513,0.0,0.0,2507.0,2793.0,1.0
dGW[32],0.516,0.015,0.488,0.545,0.0,0.0,2509.0,2793.0,1.0
dGW[33],0.531,0.016,0.502,0.56,0.0,0.0,2511.0,2793.0,1.0
dGW[34],0.536,0.016,0.507,0.566,0.0,0.0,2511.0,2797.0,1.0
dGW[35],0.541,0.016,0.512,0.571,0.0,0.0,2511.0,2797.0,1.0
dGW[36],0.546,0.016,0.517,0.576,0.0,0.0,2512.0,2797.0,1.0
dGW[37],0.551,0.016,0.522,0.582,0.0,0.0,2512.0,2779.0,1.0
