,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.627,0.032,0.567,0.687,0.0,0.0,4725.0,5081.0,1.0
Omega_m,0.53,0.13,0.303,0.77,0.002,0.001,4810.0,5149.0,1.0
dGW[0],4.636,0.06,4.528,4.751,0.001,0.0,7853.0,11333.0,1.0
dGW[1],6.148,0.061,6.034,6.262,0.0,0.0,19403.0,21921.0,1.0
dGW[2],6.809,0.065,6.69,6.932,0.0,0.0,29833.0,25488.0,1.0
dGW[3],7.935,0.08,7.787,8.082,0.0,0.0,28312.0,24118.0,1.0
dGW[4],12.865,0.198,12.503,13.244,0.002,0.001,8719.0,11575.0,1.0
dGW[5],14.603,0.249,14.136,15.066,0.003,0.002,7832.0,10021.0,1.0
dGW[6],15.436,0.275,14.928,15.955,0.003,0.002,7556.0,9683.0,1.0
dGW[7],22.581,0.507,21.652,23.551,0.006,0.004,6532.0,8032.0,1.0
dGW[8],25.873,0.619,24.727,27.048,0.008,0.005,6348.0,7543.0,1.0
dGW[9],27.667,0.68,26.339,28.889,0.009,0.006,6277.0,7375.0,1.0
dGW[10],28.743,0.718,27.344,30.032,0.009,0.006,6240.0,7370.0,1.0
dGW[11],28.955,0.725,27.542,30.257,0.009,0.006,6233.0,7362.0,1.0
dGW[12],31.535,0.815,29.952,33.006,0.01,0.007,6160.0,7270.0,1.0
dGW[13],31.852,0.826,30.247,33.342,0.01,0.007,6152.0,7260.0,1.0
dGW[14],32.112,0.835,30.489,33.618,0.011,0.007,6146.0,7250.0,1.0
correction,0.97,0.012,0.949,0.993,0.0,0.0,4820.0,5149.0,1.0
E,7.893,0.946,6.151,9.652,0.014,0.01,4810.0,5149.0,1.0
k,2.998,0.0,2.998,2.998,0.0,0.0,40000.0,40000.0,
lambda,0.3,0.067,0.18,0.401,0.001,0.001,4810.0,5149.0,1.0
deriv_0,0.676,0.218,0.332,1.092,0.003,0.002,4810.0,5149.0,1.0
"S[0, 0]",1.771,0.165,1.478,2.083,0.002,0.002,4810.0,5149.0,1.0
"S[0, 1]",0.571,0.029,0.514,0.624,0.0,0.0,4810.0,5149.0,1.0
"S[1, 0]",2.053,0.208,1.678,2.444,0.003,0.002,4810.0,5149.0,1.0
"S[1, 1]",0.679,0.04,0.604,0.752,0.001,0.0,4810.0,5149.0,1.0
"S[2, 0]",2.18,0.226,1.77,2.604,0.003,0.002,4810.0,5149.0,1.0
"S[2, 1]",0.72,0.044,0.638,0.802,0.001,0.0,4810.0,5149.0,1.0
"S[3, 0]",2.398,0.257,1.93,2.879,0.004,0.003,4810.0,5149.0,1.0
"S[3, 1]",0.784,0.05,0.69,0.879,0.001,0.001,4810.0,5149.0,1.0
"S[4, 0]",3.402,0.39,2.687,4.129,0.006,0.004,4810.0,5149.0,1.0
"S[4, 1]",0.997,0.074,0.856,1.132,0.001,0.001,4810.0,5149.0,1.0
"S[5, 0]",3.772,0.437,2.97,4.586,0.006,0.005,4810.0,5149.0,1.0
"S[5, 1]",1.055,0.08,0.902,1.203,0.001,0.001,4810.0,5149.0,1.0
"S[6, 0]",3.952,0.46,3.108,4.809,0.007,0.005,4810.0,5149.0,1.0
"S[6, 1]",1.08,0.083,0.922,1.234,0.001,0.001,4810.0,5149.0,1.0
"S[7, 0]",5.567,0.661,4.351,6.796,0.01,0.007,4810.0,5149.0,1.0
"S[7, 1]",1.254,0.103,1.059,1.446,0.001,0.001,4810.0,5149.0,1.0
"S[8, 0]",6.349,0.757,4.955,7.757,0.011,0.008,4810.0,5149.0,1.0
"S[8, 1]",1.315,0.11,1.107,1.522,0.002,0.001,4810.0,5149.0,1.0
"S[9, 0]",6.785,0.81,5.293,8.292,0.012,0.009,4810.0,5149.0,1.0
"S[9, 1]",1.345,0.114,1.131,1.559,0.002,0.001,4810.0,5149.0,1.0
"S[10, 0]",7.05,0.843,5.498,8.617,0.013,0.009,4810.0,5149.0,1.0
"S[10, 1]",1.362,0.116,1.144,1.579,0.002,0.001,4810.0,5149.0,1.0
"S[11, 0]",7.102,0.849,5.538,8.682,0.013,0.009,4810.0,5149.0,1.0
"S[11, 1]",1.365,0.116,1.147,1.583,0.002,0.001,4810.0,5149.0,1.0
"S[12, 0]",7.747,0.928,6.038,9.473,0.014,0.01,4810.0,5149.0,1.0
"S[12, 1]",1.403,0.12,1.177,1.63,0.002,0.001,4810.0,5149.0,1.0
"S[13, 0]",7.827,0.938,6.1,9.571,0.014,0.01,4810.0,5149.0,1.0
"S[13, 1]",1.407,0.121,1.18,1.635,0.002,0.001,4810.0,5149.0,1.0
"S[14, 0]",7.893,0.946,6.151,9.652,0.014,0.01,4810.0,5149.0,1.0
"S[14, 1]",1.411,0.121,1.183,1.639,0.002,0.001,4810.0,5149.0,1.0
