,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.705,0.012,0.684,0.727,0.0,0.0,2225.0,2287.0,1.0
Omega_m,0.208,0.134,-0.036,0.469,0.003,0.002,2030.0,2101.0,1.0
Omega_r,0.015,0.056,-0.091,0.117,0.001,0.001,2203.0,2575.0,1.0
dGW[0],0.599,0.007,0.587,0.611,0.0,0.0,2495.0,2777.0,1.0
dGW[1],1.085,0.009,1.068,1.101,0.0,0.0,3005.0,3442.0,1.0
dGW[2],1.176,0.01,1.159,1.193,0.0,0.0,3154.0,3637.0,1.0
dGW[3],1.184,0.01,1.166,1.2,0.0,0.0,3167.0,3636.0,1.0
dGW[4],1.251,0.01,1.233,1.267,0.0,0.0,3292.0,3638.0,1.0
dGW[5],1.275,0.01,1.257,1.292,0.0,0.0,3342.0,3675.0,1.0
dGW[6],1.316,0.01,1.298,1.333,0.0,0.0,3427.0,3731.0,1.0
dGW[7],1.359,0.01,1.341,1.376,0.0,0.0,3524.0,3831.0,1.0
dGW[8],1.408,0.01,1.39,1.426,0.0,0.0,3641.0,3825.0,1.0
dGW[9],1.479,0.01,1.46,1.497,0.0,0.0,3822.0,3882.0,1.0
dGW[10],1.528,0.01,1.509,1.546,0.0,0.0,3959.0,3938.0,1.0
dGW[11],1.531,0.01,1.513,1.55,0.0,0.0,3969.0,3997.0,1.0
dGW[12],1.576,0.011,1.558,1.595,0.0,0.0,4102.0,4117.0,1.0
dGW[13],1.601,0.011,1.583,1.62,0.0,0.0,4178.0,4159.0,1.0
dGW[14],1.613,0.011,1.594,1.632,0.0,0.0,4213.0,4146.0,1.0
dGW[15],1.652,0.011,1.634,1.672,0.0,0.0,4339.0,4221.0,1.0
dGW[16],1.682,0.011,1.663,1.701,0.0,0.0,4436.0,4302.0,1.0
dGW[17],1.718,0.011,1.699,1.737,0.0,0.0,4553.0,4364.0,1.0
dGW[18],1.753,0.011,1.734,1.773,0.0,0.0,4674.0,4531.0,1.0
dGW[19],1.766,0.011,1.747,1.785,0.0,0.0,4715.0,4526.0,1.0
dGW[20],1.813,0.011,1.794,1.833,0.0,0.0,4880.0,4588.0,1.0
dGW[21],1.824,0.011,1.804,1.844,0.0,0.0,4916.0,4606.0,1.0
dGW[22],1.848,0.011,1.829,1.868,0.0,0.0,5000.0,4533.0,1.0
dGW[23],1.905,0.011,1.885,1.925,0.0,0.0,5204.0,4604.0,1.0
dGW[24],1.919,0.011,1.899,1.939,0.0,0.0,5255.0,4676.0,1.0
dGW[25],2.029,0.012,2.009,2.05,0.0,0.0,5647.0,4933.0,1.0
dGW[26],2.065,0.012,2.045,2.087,0.0,0.0,5766.0,5119.0,1.0
dGW[27],2.066,0.012,2.045,2.087,0.0,0.0,5767.0,5119.0,1.0
dGW[28],2.105,0.012,2.084,2.126,0.0,0.0,5887.0,5069.0,1.0
dGW[29],2.145,0.012,2.124,2.167,0.0,0.0,6005.0,5106.0,1.0
dGW[30],2.154,0.012,2.133,2.176,0.0,0.0,6031.0,5128.0,1.0
dGW[31],2.174,0.012,2.153,2.196,0.0,0.0,6080.0,5088.0,1.0
dGW[32],2.213,0.012,2.191,2.235,0.0,0.0,6171.0,5113.0,1.0
dGW[33],2.218,0.012,2.196,2.239,0.0,0.0,6181.0,5124.0,1.0
dGW[34],2.219,0.012,2.196,2.24,0.0,0.0,6182.0,5124.0,1.0
dGW[35],2.243,0.012,2.221,2.265,0.0,0.0,6232.0,5189.0,1.0
dGW[36],2.345,0.013,2.323,2.368,0.0,0.0,6379.0,5694.0,1.0
dGW[37],2.438,0.013,2.415,2.462,0.0,0.0,6425.0,6060.0,1.0
dGW[38],2.447,0.013,2.423,2.47,0.0,0.0,6425.0,6115.0,1.0
