,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.677,0.019,0.643,0.712,0.0,0.0,1545.0,1492.0,1.0
Omega_m,0.317,0.134,0.07,0.56,0.003,0.003,1498.0,1566.0,1.0
Omega_r,-0.011,0.044,-0.087,0.069,0.001,0.001,1716.0,1992.0,1.0
dGW[0],2.445,0.024,2.397,2.488,0.0,0.0,2747.0,4371.0,1.0
dGW[1],6.33,0.059,6.216,6.438,0.001,0.001,3566.0,4093.0,1.0
dGW[2],6.413,0.06,6.3,6.527,0.001,0.001,3513.0,4055.0,1.0
dGW[3],8.147,0.089,7.982,8.317,0.002,0.001,2967.0,3443.0,1.0
dGW[4],8.327,0.093,8.158,8.505,0.002,0.001,2950.0,3435.0,1.0
dGW[5],8.676,0.099,8.492,8.863,0.002,0.001,2929.0,3324.0,1.0
dGW[6],14.013,0.204,13.647,14.41,0.003,0.002,3900.0,4368.0,1.0
dGW[7],19.865,0.36,19.212,20.564,0.004,0.003,7131.0,7171.0,1.0
dGW[8],24.129,0.524,23.111,25.087,0.006,0.004,8162.0,7110.0,1.0
dGW[9],25.908,0.607,24.766,27.052,0.007,0.005,7869.0,6877.0,1.0
dGW[10],30.424,0.863,28.782,32.008,0.011,0.008,6503.0,6020.0,1.0
dGW[11],33.978,1.113,31.889,36.039,0.015,0.011,5455.0,5427.0,1.0
dGW[12],36.681,1.333,34.182,39.15,0.019,0.014,4843.0,5370.0,1.0
dGW[13],47.04,2.506,42.438,51.835,0.043,0.03,3365.0,4898.0,1.0
dGW[14],47.993,2.66,42.916,52.854,0.046,0.032,3273.0,4903.0,1.0
correction,0.947,0.011,0.926,0.966,0.0,0.0,1482.0,1274.0,1.0
E,7.054,2.028,3.361,10.97,0.042,0.03,2347.0,4100.0,1.0
k,2.998,0.0,2.998,2.998,0.0,0.0,14000.0,14000.0,
lambda,0.396,0.035,0.331,0.46,0.001,0.001,1473.0,1274.0,1.0
deriv_0,0.461,0.176,0.135,0.784,0.005,0.003,1476.0,1296.0,1.0
"S[0, 0]",1.214,0.055,1.116,1.318,0.001,0.001,1487.0,1246.0,1.0
"S[0, 1]",0.397,0.009,0.38,0.413,0.0,0.0,1480.0,1266.0,1.0
"S[1, 0]",1.638,0.11,1.434,1.843,0.003,0.002,1579.0,1488.0,1.0
"S[1, 1]",0.769,0.031,0.711,0.825,0.001,0.001,1504.0,1281.0,1.0
"S[2, 0]",1.647,0.111,1.442,1.855,0.003,0.002,1583.0,1494.0,1.0
"S[2, 1]",0.775,0.031,0.716,0.832,0.001,0.001,1505.0,1281.0,1.0
"S[3, 0]",1.856,0.124,1.627,2.088,0.003,0.002,1682.0,1891.0,1.0
"S[3, 1]",0.893,0.039,0.82,0.965,0.001,0.001,1521.0,1339.0,1.0
"S[4, 0]",1.878,0.125,1.649,2.114,0.003,0.002,1696.0,1886.0,1.0
"S[4, 1]",0.904,0.04,0.83,0.978,0.001,0.001,1523.0,1339.0,1.0
"S[5, 0]",1.921,0.127,1.689,2.162,0.003,0.002,1726.0,1951.0,1.0
"S[5, 1]",0.926,0.041,0.849,1.002,0.001,0.001,1527.0,1346.0,1.0
"S[6, 0]",2.603,0.156,2.311,2.891,0.003,0.002,3004.0,3946.0,1.0
"S[6, 1]",1.188,0.056,1.084,1.293,0.001,0.001,1611.0,1608.0,1.0
"S[7, 0]",3.383,0.245,2.94,3.852,0.003,0.002,6736.0,6394.0,1.0
"S[7, 1]",1.39,0.064,1.27,1.51,0.002,0.001,1776.0,2040.0,1.0
"S[8, 0]",3.961,0.37,3.309,4.677,0.005,0.004,5489.0,5438.0,1.0
"S[8, 1]",1.504,0.067,1.377,1.629,0.002,0.001,1977.0,2261.0,1.0
"S[9, 0]",4.203,0.437,3.41,5.015,0.006,0.005,4825.0,4987.0,1.0
"S[9, 1]",1.546,0.069,1.423,1.68,0.001,0.001,2090.0,2338.0,1.0
"S[10, 0]",4.815,0.645,3.658,6.014,0.011,0.008,3657.0,4687.0,1.0
"S[10, 1]",1.642,0.071,1.514,1.779,0.001,0.001,2484.0,2884.0,1.0
"S[11, 0]",5.293,0.847,3.757,6.852,0.015,0.011,3115.0,4504.0,1.0
"S[11, 1]",1.707,0.074,1.569,1.844,0.001,0.001,2967.0,3776.0,1.0
"S[12, 0]",5.651,1.024,3.784,7.537,0.019,0.014,2863.0,4531.0,1.0
"S[12, 1]",1.753,0.076,1.615,1.9,0.001,0.001,3473.0,4340.0,1.0
"S[13, 0]",6.946,1.922,3.467,10.681,0.039,0.028,2374.0,4060.0,1.0
"S[13, 1]",1.904,0.093,1.735,2.084,0.001,0.001,6710.0,6034.0,1.0
"S[14, 0]",7.054,2.028,3.361,10.97,0.042,0.03,2347.0,4100.0,1.0
"S[14, 1]",1.917,0.096,1.746,2.106,0.001,0.001,6953.0,6036.0,1.0
